NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:HGNC Symbol;Acc:HGNC:17955]	3299	0.030518965795636177	-0.121637106	No	
row_1	MSRA	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]	3570	0.02842537686228752	-0.09647082	No	
row_2	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	4683	0.02105703018605709	-0.12288234	No	
row_3	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	4752	0.020698117092251778	-0.098204106	No	
row_4	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	4927	0.019675634801387787	-0.080147564	No	
row_5	GLRX2	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]	5250	0.017817577347159386	-0.07191947	No	
row_6	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	5824	0.014823908917605877	-0.08014654	No	
row_7	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	5879	0.01458043698221445	-0.06306367	No	
row_8	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	6039	0.013791649602353573	-0.052236516	No	
row_9	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	6424	0.011992469429969788	-0.054962024	No	
row_10	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	6501	0.011626601219177246	-0.04296725	No	
row_11	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	7217	0.008694491349160671	-0.066512324	No	
row_12	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	7362	0.008063428103923798	-0.062703565	No	
row_13	TXNRD2	thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155]	7603	0.007150344550609589	-0.06487427	No	
row_14	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	7890	0.006022382993251085	-0.07084542	No	
row_15	EGLN2	egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]	7891	0.006022333167493343	-0.06268759	No	
row_16	HHEX	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	8107	0.00514933280646801	-0.06633381	No	
row_17	SRXN1	sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]	8172	0.004851656034588814	-0.06292351	No	
row_18	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	8326	0.004346266854554415	-0.06459463	No	
row_19	HMOX2	heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]	9097	0.0017372717848047614	-0.10028104	No	
row_20	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	9307	0.0010578074725344777	-0.10917321	No	
row_21	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	9480	4.8202290781773627E-4	-0.11701744	No	
row_22	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	10169	-0.001722094602882862	-0.14867343	No	
row_23	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	10181	-0.0017503678100183606	-0.14684582	No	
row_24	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	10584	-0.00294853444211185	-0.16271144	No	
row_25	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	10626	-0.003076150780543685	-0.16057	No	
row_26	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	10799	-0.0036418086383491755	-0.164134	No	
row_27	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	10940	-0.004093996714800596	-0.1655046	No	
row_28	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	11736	-0.006361275911331177	-0.19616242	No	
row_29	SCAF4	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	12036	-0.007228847127407789	-0.20114152	No	
row_30	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	12494	-0.0085541857406497	-0.21213087	No	
row_31	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	12581	-0.0087925735861063	-0.20446908	No	
row_32	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	13326	-0.010763165540993214	-0.2266446	No	
row_33	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	13833	-0.012211686931550503	-0.23510024	No	
row_34	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	14326	-0.013591515831649303	-0.24099514	Yes	
row_35	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	14508	-0.014212416484951973	-0.23068486	Yes	
row_36	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	14682	-0.014733054675161839	-0.21927412	Yes	
row_37	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	15057	-0.0158866997808218	-0.2162305	Yes	
row_38	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	15729	-0.018188320100307465	-0.22474156	Yes	
row_39	OXSR1	oxidative stress responsive kinase 1 [Source:HGNC Symbol;Acc:HGNC:8508]	16159	-0.020052019506692886	-0.21877275	Yes	
row_40	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	16980	-0.02361099235713482	-0.22729923	Yes	
row_41	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	17143	-0.02449124865233898	-0.20212665	Yes	
row_42	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	17650	-0.027664944529533386	-0.18964936	Yes	
row_43	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	17923	-0.02949003502726555	-0.1631397	Yes	
row_44	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	18165	-0.031501635909080505	-0.13237366	Yes	
row_45	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	18443	-0.03404175117611885	-0.09994526	Yes	
row_46	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	18746	-0.037651002407073975	-0.06386285	Yes	
row_47	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	19021	-0.04221321642398834	-0.020217229	Yes	
row_48	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	19718	-0.06116906553506851	0.028258171	Yes	
