NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	1186	0.056625016033649445	-0.035236686	No	
row_1	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	1958	0.04358251765370369	-0.05532846	No	
row_2	EXOC2	exocyst complex component 2 [Source:HGNC Symbol;Acc:HGNC:24968]	1981	0.043291088193655014	-0.038421743	No	
row_3	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	2185	0.04099443182349205	-0.031439964	No	
row_4	TTC37	tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]	2227	0.04045524448156357	-0.016653791	No	
row_5	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	2271	0.0398406945168972	-0.002222215	No	
row_6	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	3554	0.028504259884357452	-0.053906944	No	
row_7	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	3896	0.02605859376490116	-0.059973437	No	
row_8	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	4050	0.024930402636528015	-0.057191864	No	
row_9	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	4205	0.023952458053827286	-0.0548664	No	
row_10	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	4311	0.023392463102936745	-0.05034535	No	
row_11	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	4817	0.02028660848736763	-0.06693904	No	
row_12	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	5107	0.018616056069731712	-0.07352249	No	
row_13	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	5164	0.018270255997776985	-0.06870246	No	
row_14	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	5567	0.01614145189523697	-0.08191481	No	
row_15	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	5612	0.01587904989719391	-0.07749415	No	
row_16	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	5837	0.014774810522794724	-0.082453154	No	
row_17	NFYB	nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]	5956	0.014149426482617855	-0.082418896	No	
row_18	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	5967	0.014091325923800468	-0.07705643	No	
row_19	DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	5982	0.014030642807483673	-0.07191742	No	
row_20	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	6107	0.01345809642225504	-0.072467916	No	
row_21	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	6584	0.011277245357632637	-0.09136978	No	
row_22	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	6847	0.010173727758228779	-0.100124784	No	
row_23	GEMIN4	gem nuclear organelle associated protein 4 [Source:HGNC Symbol;Acc:HGNC:15717]	6927	0.009797255508601665	-0.09996702	No	
row_24	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	7047	0.009334765374660492	-0.101983875	No	
row_25	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	7086	0.009141990914940834	-0.100066595	No	
row_26	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	7165	0.008881104178726673	-0.10024013	No	
row_27	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	7181	0.008817425929009914	-0.09731793	No	
row_28	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	7191	0.008770021609961987	-0.09411807	No	
row_29	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	7650	0.0069661932066082954	-0.11392007	No	
row_30	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	7765	0.006480109412223101	-0.11687587	No	
row_31	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	7792	0.006379417143762112	-0.11551235	No	
row_32	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	7896	0.00601154612377286	-0.118117794	No	
row_33	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	8064	0.005318528041243553	-0.12418311	No	
row_34	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	8119	0.005113914143294096	-0.12473333	No	
row_35	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	8186	0.004818569868803024	-0.12600105	No	
row_36	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	8353	0.004264559131115675	-0.13245496	No	
row_37	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	8702	0.0031304992735385895	-0.14840005	No	
