NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	94	0.14095015823841095	0.030684136	No	
row_1	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	136	0.12550421059131622	0.060126614	No	
row_2	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	374	0.08817163854837418	0.07047009	No	
row_3	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1002	0.06086665391921997	0.05459375	No	
row_4	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	1225	0.05579972639679909	0.057562754	No	
row_5	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1308	0.054045140743255615	0.06704543	No	
row_6	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	1386	0.05266881734132767	0.076431245	No	
row_7	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1393	0.05247117951512337	0.08929404	No	
row_8	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	1668	0.047956716269254684	0.08771303	No	
row_9	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1820	0.04556093364953995	0.091640495	No	
row_10	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	2001	0.043044645339250565	0.0934964	No	
row_11	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	2139	0.041460070759058	0.097090654	No	
row_12	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	2658	0.03603435307741165	0.08039988	No	
row_13	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	2740	0.03525886312127113	0.085220255	No	
row_14	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	3228	0.031069595366716385	0.06882398	No	
row_15	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	3388	0.029857981950044632	0.06841547	No	
row_16	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	3758	0.02697993814945221	0.056854457	No	
row_17	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3812	0.026552412658929825	0.060881834	No	
row_18	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	4168	0.024221649393439293	0.04932436	No	
row_19	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	4315	0.023368151858448982	0.04793378	No	
row_20	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	4551	0.0218938197940588	0.041752804	No	
row_21	KLHDC3	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	4674	0.021093955263495445	0.04098388	No	
row_22	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	4777	0.020527265965938568	0.04106622	No	
row_23	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	4893	0.019849805161356926	0.04033293	No	
row_24	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	4927	0.019675634801387787	0.043628864	No	
row_25	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	5231	0.017902662977576256	0.03306929	No	
row_26	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	5341	0.017337994650006294	0.032004006	No	
row_27	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	5497	0.016483573243021965	0.028439607	No	
row_28	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	5651	0.01567579060792923	0.024771944	No	
row_29	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	5800	0.015004903078079224	0.021184355	No	
row_30	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	6012	0.013893664814531803	0.014188855	No	
row_31	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	6027	0.013838499784469604	0.016964449	No	
row_32	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	6184	0.013092447072267532	0.012499821	No	
row_33	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	6386	0.012193211354315281	0.005574511	No	
row_34	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	6773	0.010519186034798622	-0.010959571	No	
row_35	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	6792	0.010421717539429665	-0.009239653	No	
row_36	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	6909	0.009900585748255253	-0.012518075	No	
