NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	24	0.1956852674484253	0.19638407	Yes	
row_1	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	201	0.10919696092605591	0.29794058	Yes	
row_2	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	1824	0.04545852914452553	0.26373407	Yes	
row_3	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	1920	0.04415806755423546	0.3036257	Yes	
row_4	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	3135	0.03175593540072441	0.2757338	No	
row_5	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	3256	0.030825696885585785	0.30093005	No	
row_6	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	4031	0.02506624534726143	0.28801355	No	
row_7	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	4666	0.021140173077583313	0.27804706	No	
row_8	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	5517	0.01636258326470852	0.2525898	No	
row_9	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	5740	0.015260417945683002	0.25703365	No	
row_10	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	6425	0.011989760212600231	0.23535939	No	
row_11	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	6470	0.01174767967313528	0.24504723	No	
row_12	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	6617	0.011137191206216812	0.24908142	No	
row_13	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	6874	0.010035903193056583	0.24657135	No	
row_14	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	7538	0.007400436792522669	0.22130068	No	
row_15	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	7616	0.007072598207741976	0.22463872	No	
row_16	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	7741	0.006562643218785524	0.22514078	No	
row_17	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	8161	0.004918750841170549	0.20941451	No	
row_18	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	8508	0.003760277759283781	0.19612373	No	
row_19	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	8748	0.0029749649111181498	0.18732429	No	
row_20	HDAC11	histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]	9213	0.001372763654217124	0.16579555	No	
row_21	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	9628	2.2352342057274655E-5	0.14537267	No	
row_22	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	9878	-7.609673193655908E-4	0.13384406	No	
row_23	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	11531	-0.005814593750983477	0.058130357	No	
row_24	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	11642	-0.006091344635933638	0.058847982	No	
