NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	34	0.18367965519428253	0.034412466	Yes	
row_1	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	98	0.14014098048210144	0.05882337	Yes	
row_2	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	147	0.12257938832044601	0.08052891	Yes	
row_3	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	198	0.10947524011135101	0.0995591	Yes	
row_4	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	344	0.09082457423210144	0.11019476	Yes	
row_5	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	387	0.08771879225969315	0.1253466	Yes	
row_6	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	406	0.08632027357816696	0.14141811	Yes	
row_7	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	508	0.07956276834011078	0.15203016	Yes	
row_8	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	697	0.07112536579370499	0.15665339	Yes	
row_9	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	845	0.06567581743001938	0.16224617	Yes	
row_10	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	882	0.06428762525320053	0.17309095	Yes	
row_11	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	934	0.06276802718639374	0.18289042	Yes	
row_12	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	954	0.06226477026939392	0.1941837	Yes	
row_13	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	1068	0.05933790281414986	0.20022298	Yes	
row_14	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	1323	0.05388348549604416	0.19817205	Yes	
row_15	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1393	0.05247117951512337	0.20505162	Yes	
row_16	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	1425	0.05186786130070686	0.21370398	Yes	
row_17	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	1708	0.04736737161874771	0.20897855	Yes	
row_18	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	2001	0.043044645339250565	0.20290568	Yes	
row_19	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	2081	0.0420302115380764	0.2072352	Yes	
row_20	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	2180	0.041050586849451065	0.21042645	Yes	
row_21	MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	2209	0.040638554841279984	0.21702085	Yes	
row_22	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	2553	0.037042513489723206	0.20722975	Yes	
row_23	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	2588	0.036717481911182404	0.21275479	Yes	
row_24	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	2649	0.03613228350877762	0.21687067	Yes	
row_25	DDAH2	dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]	2864	0.03395834565162659	0.21289411	Yes	
row_26	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	2866	0.03395251929759979	0.21951817	Yes	
row_27	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	2915	0.033485908061265945	0.22371116	Yes	
row_28	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4642]	2964	0.03306788206100464	0.22782198	Yes	
row_29	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	3147	0.03165635094046593	0.22498569	Yes	
row_30	MPP2	membrane palmitoylated protein 2 [Source:HGNC Symbol;Acc:HGNC:7220]	3177	0.03144090622663498	0.2297224	Yes	
row_31	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	3294	0.030547186732292175	0.22995314	Yes	
