NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.51811266	1.3966142	0.08282828	1.0	0.534	3796	tags=39%, list=19%, signal=48%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.39884517	1.1745669	0.25150904	1.0	0.806	4945	tags=36%, list=24%, signal=47%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.40652028	1.1149883	0.34957626	1.0	0.849	3135	tags=25%, list=15%, signal=30%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	0.42024958	1.110834	0.4202586	1.0	0.851	4573	tags=38%, list=23%, signal=48%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	0.31141347	1.091475	0.3786611	1.0	0.861	5888	tags=39%, list=29%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.3036257	1.0288502	0.41237113	1.0	0.897	1920	tags=10%, list=9%, signal=10%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.30458072	0.987877	0.45738044	1.0	0.919	6002	tags=38%, list=30%, signal=54%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	197	0.26677367	0.9831113	0.4757085	1.0	0.92	1751	tags=11%, list=9%, signal=12%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.29417598	0.95347923	0.5272331	1.0	0.931	3587	tags=23%, list=18%, signal=28%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	0.28675297	0.9461994	0.5555556	1.0	0.933	2978	tags=19%, list=15%, signal=22%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.35608074	0.91743654	0.5732484	1.0	0.941	3731	tags=31%, list=18%, signal=37%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.26770312	0.81255263	0.64	1.0	0.972	3978	tags=21%, list=20%, signal=26%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	0.28168517	0.8006724	0.7412008	1.0	0.973	3736	tags=23%, list=18%, signal=28%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.27687573	0.79584193	0.6918367	1.0	0.973	4271	tags=30%, list=21%, signal=38%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	0.2759717	0.7670412	0.71822035	1.0	0.978	4205	tags=28%, list=21%, signal=35%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	199	0.31103152	0.7653247	0.781893	1.0	0.979	2744	tags=22%, list=14%, signal=25%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.24460578	0.7620885	0.7426778	0.95154697	0.98	2371	tags=11%, list=12%, signal=12%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	0.25603098	0.7358584	0.8024948	0.9442405	0.983	4252	tags=23%, list=21%, signal=29%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.23797844	0.7190709	0.75416666	0.92097014	0.983	5818	tags=31%, list=29%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.21788934	0.7021318	0.87473905	0.90057045	0.985	2171	tags=13%, list=11%, signal=14%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		158	0.20662534	0.66247296	0.8637317	0.9115205	0.987	5106	tags=28%, list=25%, signal=38%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		40	0.2322166	0.6542345	0.93131316	0.8822508	0.987	3394	tags=20%, list=17%, signal=24%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		200	0.21326472	0.6534669	0.8453608	0.8447044	0.987	1920	tags=10%, list=9%, signal=10%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	0.21525243	0.56053436	0.8995727	0.9011153	0.989	4932	tags=30%, list=24%, signal=39%	
