"seed"	"wcss"
"1"	984	2984598.95630378
"2"	474	3487722.11803052
"3"	780	3205378.42015081
"4"	975	3095661.95480985
"5"	828	3981223.29995165
"6"	544	3745677.47199167
"7"	760	4268812.40181287
"8"	248	4177036.68480856
"9"	878	4218066.34434396
"10"	777	3225682.7563923
"11"	518	4512975.85199816
"12"	996	3351511.09982351
"13"	323	3406127.95019603
"14"	410	3315457.12747906
"15"	611	3793306.80054806
"16"	853	3746908.40143404
"17"	886	3801079.00334991
"18"	118	3324957.48473102
"19"	666	3214009.43653253
"20"	421	3466218.58155641
