"seed"	"wcss"
"1"	157	1891121.43868806
"2"	959	1752429.35783681
"3"	958	1629064.67571677
"4"	27	1715644.28589944
"5"	898	1803233.19936195
"6"	325	1548074.45424131
"7"	4	1496471.49102356
"8"	560	1693805.85613026
"9"	988	1704472.47947475
"10"	828	1617908.46687706
"11"	733	1721767.17575909
"12"	452	1600685.55118933
"13"	909	1701056.96969677
"14"	620	1574462.41460595
"15"	672	1568013.19575035
"16"	759	1747252.40280993
"17"	289	1515286.33649299
"18"	868	1593550.37178622
"19"	501	1748062.99802057
"20"	985	1852773.08887071
"21"	221	1943370.42229539
"22"	737	1606975.57075944
"23"	89	1740837.77821549
"24"	379	1818625.34752884
"25"	505	1573300.25040375
"26"	18	1767069.7637724
"27"	522	1676272.28924958
"28"	758	1751659.25072692
"29"	457	1629753.63838943
"30"	694	1634121.99272651
"31"	290	1693489.05864505
"32"	632	2762490.92185502
"33"	260	1681303.0980063
"34"	299	1793300.06934909
"35"	394	1707497.49241038
"36"	246	1765535.97985045
"37"	680	1577339.1684666
"38"	558	1757899.98556279
"39"	874	1533442.34261036
"40"	494	1630773.31680159
"41"	125	1575202.76349621
"42"	141	1601483.44726949
"43"	935	1922487.03283547
"44"	530	1729467.98008017
"45"	741	1523260.95766077
"46"	291	1623308.91651596
"47"	217	1762588.39963059
"48"	28	1632204.91638101
"49"	453	1869723.17437562
"50"	160	1805785.42017412
