NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	390	0.21519292891025543	-0.008080758	No	
row_1	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	578	0.18835897743701935	-0.0074704224	No	
row_2	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	1463	0.12445526570081711	-0.04491707	No	
row_3	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	1617	0.11807949841022491	-0.046314977	No	
row_4	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	2417	0.09004433453083038	-0.08134277	No	
row_5	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]	3053	0.07407078146934509	-0.10904879	No	
row_6	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	3296	0.06913155317306519	-0.11745388	No	
row_7	PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	3562	0.06363870203495026	-0.12729299	No	
row_8	AMH	anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]	3964	0.05665521323680878	-0.14426902	No	
row_9	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	4361	0.05035603791475296	-0.16132785	No	
row_10	ADAM23	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]	4664	0.04605697840452194	-0.17393434	No	
row_11	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	4678	0.04579421877861023	-0.17217012	No	
row_12	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	4729	0.04515313729643822	-0.17228127	No	
row_13	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	4808	0.044050805270671844	-0.17384413	No	
row_14	GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]	4898	0.04261639714241028	-0.17603001	No	
row_15	NLGN3	neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289]	5304	0.036576658487319946	-0.19426236	No	
row_16	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	5322	0.03632868453860283	-0.19319563	No	
row_17	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	5332	0.03625378757715225	-0.19173466	No	
row_18	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	5360	0.03584105148911476	-0.19119135	No	
row_19	DMP1	dentin matrix acidic phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:2932]	5420	0.03512343764305115	-0.19227858	No	
row_20	CD276	CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]	5617	0.03264352306723595	-0.20031536	No	
row_21	SYMPK	symplekin [Source:HGNC Symbol;Acc:HGNC:22935]	5882	0.02913418598473072	-0.21192151	No	
row_22	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	5911	0.02870865911245346	-0.21180353	No	
row_23	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	5930	0.028424527496099472	-0.21120276	No	
row_24	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6073	0.026595601812005043	-0.21687022	No	
row_25	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6450	0.02241106890141964	-0.23440503	No	
row_26	CDK8	cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]	6457	0.022308895364403725	-0.23352899	No	
row_27	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	6637	0.020424041897058487	-0.24136303	No	
row_28	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	6771	0.018930653110146523	-0.24698612	No	
row_29	MPZL1	myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]	6819	0.018408073112368584	-0.24835621	No	
row_30	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	6912	0.017369776964187622	-0.25202078	No	
row_31	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	7118	0.015293790027499199	-0.26141906	No	
row_32	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	7215	0.014323334209620953	-0.26544312	No	
row_33	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	7471	0.01184521708637476	-0.27751166	No	
row_34	COL9A1	collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]	7538	0.011328047141432762	-0.28020024	No	
row_35	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	7648	0.010370607487857342	-0.2850795	No	
row_36	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	7669	0.01018007006496191	-0.28553894	No	
row_37	NLGN2	neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290]	7848	0.008318986743688583	-0.2939606	No	
row_38	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	7903	0.00785975530743599	-0.29623452	No	
row_39	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	8047	0.006572087295353413	-0.30300608	No	
row_40	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	8252	0.004685572814196348	-0.31291315	No	
row_41	TRO	trophinin [Source:HGNC Symbol;Acc:HGNC:12326]	8391	0.0034274582285434008	-0.31960145	No	
row_42	CLDN14	claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035]	8395	0.0034072259441018105	-0.31957135	No	
row_43	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	8398	0.003401826834306121	-0.31949177	No	
row_44	NRAP	nebulin related anchoring protein [Source:HGNC Symbol;Acc:HGNC:7988]	8756	8.271406986750662E-4	-0.33721736	No	
row_45	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	8849	1.7426476915716194E-5	-0.34179562	No	
row_46	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	9239	-0.002900827443227172	-0.36100477	No	
row_47	DHX16	DEAH-box helicase 16 [Source:HGNC Symbol;Acc:HGNC:2739]	9325	-0.003520945319905877	-0.36505014	No	
row_48	ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	9382	-0.0038995107170194387	-0.36763212	No	
row_49	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	9456	-0.0043517774902284145	-0.37103647	No	
row_50	CLDN18	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]	9679	-0.005939602851867676	-0.38177344	No	
row_51	PDZD3	PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19891]	9882	-0.0072801304049789906	-0.39144436	No	
row_52	WNK4	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]	9895	-0.007374339736998081	-0.39165333	No	
row_53	CLDN15	claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036]	9973	-0.00797336921095848	-0.39506605	No	
row_54	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	10069	-0.008484364487230778	-0.3993478	No	
row_55	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	10199	-0.009298164397478104	-0.405279	No	
row_56	CLDN9	claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051]	10287	-0.009884453378617764	-0.40908885	No	
row_57	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	10831	-0.013304383493959904	-0.43541533	No	
row_58	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	10973	-0.01412531640380621	-0.44168964	No	
row_59	CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	11009	-0.014378240332007408	-0.44267464	No	
row_60	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	11011	-0.014391876757144928	-0.4419666	No	
row_61	PBX2	PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]	11338	-0.016726655885577202	-0.45731202	No	
row_62	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	11447	-0.017436884343624115	-0.46176943	No	
row_63	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	11638	-0.01861635223031044	-0.47024617	No	
row_64	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	11642	-0.018635328859090805	-0.46941426	No	
row_65	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	11647	-0.018642056733369827	-0.46863174	No	
row_66	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	11796	-0.019532866775989532	-0.47496974	No	
row_67	KRT31	keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]	11877	-0.020090853795409203	-0.47789374	No	
row_68	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	11889	-0.020132461562752724	-0.4773812	No	
row_69	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	11895	-0.02016538567841053	-0.47656825	No	
row_70	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	12033	-0.021047430112957954	-0.48227897	No	
row_71	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	12078	-0.02139749936759472	-0.48334232	No	
row_72	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	12088	-0.021492518484592438	-0.48265862	No	
row_73	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	12177	-0.021998779848217964	-0.48588035	No	
row_74	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	12272	-0.022648952901363373	-0.48936647	No	
row_75	CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	12300	-0.02283305488526821	-0.4895081	No	
row_76	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	12603	-0.025050204247236252	-0.5032207	No	
row_77	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	12891	-0.02707354724407196	-0.51608014	No	
row_78	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	12919	-0.02721518836915493	-0.51599103	No	
row_79	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	13007	-0.02791689522564411	-0.5188514	No	
row_80	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	13086	-0.028521470725536346	-0.5212319	No	
row_81	ADAM15	ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]	13239	-0.029705291613936424	-0.52723336	No	
