NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	654	0.1786995828151703	-0.026397701	No	
row_1	DGKH	diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]	936	0.15359485149383545	-0.03509445	No	
row_2	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	1652	0.11654750257730484	-0.06666878	No	
row_3	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	1804	0.11059479415416718	-0.07037583	No	
row_4	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2135	0.09862098842859268	-0.08340471	No	
row_5	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	2227	0.0959157645702362	-0.08463089	No	
row_6	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:26677]	2532	0.08677193522453308	-0.09677373	No	
row_7	USP16	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	2839	0.07874622941017151	-0.10929251	No	
row_8	RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	3236	0.07041268050670624	-0.1265779	No	
row_9	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	3723	0.060989171266555786	-0.14866744	No	
row_10	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	3768	0.06002052128314972	-0.14879045	No	
row_11	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	4526	0.04806764796376228	-0.18481362	No	
row_12	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	4579	0.0472317710518837	-0.18577525	No	
row_13	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	4706	0.045372918248176575	-0.19048412	No	
row_14	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	5167	0.038400955498218536	-0.21205747	No	
row_15	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	5644	0.03230983763933182	-0.23463696	No	
row_16	KCNIP2	potassium voltage-gated channel interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:15522]	6464	0.022196123376488686	-0.27463707	No	
row_17	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	6522	0.021546756848692894	-0.27673212	No	
row_18	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	6568	0.02111075446009636	-0.2782449	No	
row_19	AKAP10	A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]	6596	0.020807020366191864	-0.27887222	No	
row_20	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	6636	0.020448654890060425	-0.28010917	No	
row_21	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	6637	0.020424041897058487	-0.27940577	No	
