NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	80	0.32363981008529663	0.011611782	No	
row_1	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	115	0.30317533016204834	0.024527123	No	
row_2	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	195	0.2648696303367615	0.033357006	No	
row_3	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	203	0.26170632243156433	0.045618165	No	
row_4	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	236	0.2513370215892792	0.056135375	No	
row_5	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	266	0.24286210536956787	0.06639356	No	
row_6	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	370	0.21875831484794617	0.07180714	No	
row_7	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	431	0.20966026186943054	0.07892261	No	
row_8	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	441	0.20815837383270264	0.088504165	No	
row_9	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	449	0.20627056062221527	0.098094314	No	
row_10	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	485	0.20134946703910828	0.106053695	No	
row_11	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	517	0.19689111411571503	0.113997355	No	
row_12	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	518	0.19668233394622803	0.123473935	No	
row_13	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	526	0.19539722800254822	0.13254018	No	
row_14	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	723	0.17239412665367126	0.1310909	No	
row_15	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	745	0.17049813270568848	0.13826062	No	
row_16	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	839	0.16149070858955383	0.14141265	No	
row_17	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	904	0.15541820228099823	0.14571552	No	
row_18	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	1127	0.14165344834327698	0.14149097	No	
row_19	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	1323	0.13153952360153198	0.13812299	No	
row_20	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	1574	0.11960345506668091	0.13144235	No	
