NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	518	0.19668233394622803	-0.018620111	No	
row_1	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	526	0.19539722800254822	-0.011854006	No	
row_2	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	673	0.1766972690820694	-0.012686952	No	
row_3	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	688	0.1756046861410141	-0.0069898996	No	
row_4	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	814	0.16342037916183472	-0.00726107	No	
row_5	PTRH2	peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]	821	0.16301316022872925	-0.0016243123	No	
row_6	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	1241	0.13543353974819183	-0.017547186	No	
row_7	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	1506	0.1224772110581398	-0.026227294	No	
row_8	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1507	0.12237648665904999	-0.02177151	No	
row_9	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	1567	0.11986447125673294	-0.02034368	No	
row_10	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	1573	0.1196369081735611	-0.0162365	No	
row_11	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	1825	0.10997758060693741	-0.024724701	No	
row_12	ETV4	ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]	2201	0.09660903364419937	-0.039871268	No	
row_13	UCK2	uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562]	2233	0.09579473733901978	-0.037926238	No	
row_14	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	2425	0.08992678672075272	-0.044158235	No	
row_15	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	3191	0.0712817832827568	-0.07963769	No	
row_16	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	3229	0.07057545334100723	-0.07890953	No	
row_17	SPRED2	sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]	3515	0.06461907178163528	-0.09074147	No	
row_18	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	3571	0.06349486857652664	-0.091167	No	
row_19	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	3771	0.059929776936769485	-0.09888937	No	
row_20	NCS1	neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]	4563	0.04747948423027992	-0.13652952	No	
row_21	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	4698	0.045537084341049194	-0.14154083	No	
row_22	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	4710	0.04536006599664688	-0.14043672	No	
row_23	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	4783	0.0444757379591465	-0.14240086	No	
row_24	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	4790	0.04431094229221344	-0.1410861	No	
row_25	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	5146	0.0386730432510376	-0.15734673	No	
row_26	SH3BGRL2	SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]	5521	0.033871300518512726	-0.17472783	No	
row_27	PDCD2L	programmed cell death 2 like [Source:HGNC Symbol;Acc:HGNC:28194]	5551	0.03351680934429169	-0.17495082	No	
row_28	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	5553	0.033470410853624344	-0.17378192	No	
row_29	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	5644	0.03230983763933182	-0.1770849	No	
row_30	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	5672	0.03188782185316086	-0.17726767	No	
row_31	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	5967	0.027937641367316246	-0.19088313	No	
row_32	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:28739]	6308	0.023793036118149757	-0.20693898	No	
row_33	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	6416	0.022695323452353477	-0.21143813	No	
row_34	PRAF2	PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911]	6479	0.022041570395231247	-0.2137214	No	
row_35	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	6874	0.01782144233584404	-0.2326823	No	
row_36	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	6946	0.017066076397895813	-0.23559466	No	
row_37	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	7023	0.016215279698371887	-0.23878686	No	
row_38	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	7146	0.015008113346993923	-0.24431248	No	
row_39	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	7166	0.014834682457149029	-0.24471799	No	
row_40	POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]	7236	0.014094608835875988	-0.247639	No	
row_41	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	7404	0.012501703575253487	-0.25549558	No	
row_42	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	7572	0.011043086647987366	-0.26340526	No	
row_43	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]	7621	0.010628734715282917	-0.26540726	No	
row_44	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	7832	0.008438133634626865	-0.27555194	No	
row_45	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	8217	0.0049392892979085445	-0.2944842	No	
row_46	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	8541	0.002395667601376772	-0.31047302	No	
row_47	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	9421	-0.004135069902986288	-0.35407123	No	
row_48	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	9484	-0.0045187515206635	-0.35699248	No	
row_49	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	9493	-0.004578901454806328	-0.35722393	No	
row_50	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	10152	-0.009024130180478096	-0.3896447	No	
row_51	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	10667	-0.012185629457235336	-0.41478336	No	
row_52	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	10975	-0.014131068252027035	-0.42954856	No	
row_53	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	11067	-0.014811286702752113	-0.43353844	No	
row_54	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	11139	-0.015347613953053951	-0.43651336	No	
row_55	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	11293	-0.01637926697731018	-0.44353196	No	
row_56	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	11604	-0.01841796562075615	-0.45829037	No	
row_57	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	12461	-0.024059396237134933	-0.50001836	No	
row_58	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	12855	-0.02688230574131012	-0.5185996	No	
row_59	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	13000	-0.02787349745631218	-0.5247518	No	
row_60	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	13041	-0.02823508530855179	-0.5257146	No	
row_61	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	13175	-0.02922227792441845	-0.5312701	No	
row_62	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	13282	-0.03007856197655201	-0.53545064	No	
row_63	GATA1	GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]	13478	-0.03162785992026329	-0.54400444	No	
row_64	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	13583	-0.03237101063132286	-0.54800195	No	
row_65	S100A1	S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:HGNC:10486]	13587	-0.03240421041846275	-0.54697144	No	
row_66	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	13988	-0.035736169666051865	-0.5655787	No	
row_67	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	14189	-0.03789385035634041	-0.5741532	No	
row_68	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	14274	-0.03870232030749321	-0.57692474	No	
row_69	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	14508	-0.041146181523799896	-0.58702326	No	
row_70	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	14510	-0.0411713644862175	-0.585574	No	
row_71	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	14732	-0.04399246349930763	-0.5949716	No	
row_72	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	14742	-0.044104427099227905	-0.59381366	No	
row_73	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	14790	-0.044653818011283875	-0.59452707	No	
row_74	SNX14	sorting nexin 14 [Source:HGNC Symbol;Acc:HGNC:14977]	14839	-0.04523184895515442	-0.59526914	No	
row_75	PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	15234	-0.050525035709142685	-0.6130393	No	
row_76	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	15250	-0.05069226026535034	-0.61194015	No	
row_77	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	15257	-0.05077969282865524	-0.6103898	No	
row_78	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	15386	-0.052662599831819534	-0.6148431	No	
row_79	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	15540	-0.055034738034009933	-0.6204542	No	
row_80	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	15969	-0.0618516281247139	-0.6395042	No	
row_81	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	15974	-0.06197962909936905	-0.6374465	No	
row_82	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	15981	-0.0620807409286499	-0.63548476	No	
row_83	FAM126B	family with sequence similarity 126 member B [Source:HGNC Symbol;Acc:HGNC:28593]	16093	-0.06409940868616104	-0.63867545	No	
row_84	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	16280	-0.0682079866528511	-0.6454494	No	
row_85	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	16358	-0.06966282427310944	-0.6467453	No	
row_86	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	16389	-0.07027934491634369	-0.64567953	No	
row_87	GLIPR2	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]	16487	-0.0726725161075592	-0.6478613	No	
row_88	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	16501	-0.07310470193624496	-0.64584655	No	
row_89	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	16535	-0.0738224908709526	-0.6448011	No	
row_90	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	16554	-0.0741337314248085	-0.64299774	No	
row_91	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	16670	-0.0766700878739357	-0.6459298	No	
row_92	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	16848	-0.08077166229486465	-0.65179837	Yes	
row_93	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	16849	-0.08077440410852432	-0.6488573	Yes	
row_94	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	16899	-0.08212866634130478	-0.6483058	Yes	
row_95	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	16982	-0.08451199531555176	-0.6493099	Yes	
