NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	809	0.16417185962200165	-0.035120975	No	
row_1	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	1461	0.12467585504055023	-0.0636157	No	
row_2	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1488	0.12316152453422546	-0.06104943	No	
row_3	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	1652	0.11654750257730484	-0.065509446	No	
row_4	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2326	0.09299495071172714	-0.096092194	No	
row_5	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	3082	0.07342296838760376	-0.13136984	No	
row_6	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	3256	0.07002615928649902	-0.13778575	No	
row_7	NPFFR2	neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]	3439	0.06595607846975327	-0.14477721	No	
row_8	PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	3508	0.06471879780292511	-0.14613326	No	
row_9	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	3568	0.0635407567024231	-0.14707828	No	
row_10	VIP	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]	3890	0.058066755533218384	-0.16123553	No	
row_11	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	4182	0.0530010350048542	-0.17405836	No	
row_12	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	4783	0.0444757379591465	-0.20252843	No	
row_13	OPRK1	opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154]	4859	0.0431530587375164	-0.20490885	No	
row_14	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	5576	0.033181965351104736	-0.23950665	No	
row_15	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	5746	0.030886441469192505	-0.24695027	No	
row_16	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	7080	0.015650387853384018	-0.31280783	No	
row_17	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	7237	0.014087271876633167	-0.32013094	No	
row_18	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	7501	0.011612100526690483	-0.33285743	No	
row_19	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	7720	0.009518609382212162	-0.3434097	No	
row_20	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	7806	0.00871709082275629	-0.34736723	No	
row_21	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	7832	0.008438133634626865	-0.34834707	No	
row_22	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	7901	0.007864668034017086	-0.35148516	No	
row_23	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	8093	0.006055830046534538	-0.36080208	No	
row_24	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	8684	0.001380091649480164	-0.39012522	No	
row_25	CCL17	C-C motif chemokine ligand 17 [Source:HGNC Symbol;Acc:HGNC:10615]	8689	0.0013137123314663768	-0.39028314	No	
row_26	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	8893	-3.975960426032543E-4	-0.4003747	No	
row_27	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	8899	-4.548483993858099E-4	-0.4006093	No	
row_28	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8968	-9.775059297680855E-4	-0.40396327	No	
row_29	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	9233	-0.0028749252669513226	-0.41701338	No	
row_30	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	9749	-0.006340537220239639	-0.442448	No	
row_31	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	9832	-0.00683984300121665	-0.44631505	No	
row_32	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	10225	-0.009433760307729244	-0.46553057	No	
row_33	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	10377	-0.010451761074364185	-0.47271878	No	
row_34	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	10449	-0.010940155014395714	-0.4759098	No	
row_35	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	10805	-0.013155327178537846	-0.49316704	No	
row_36	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	10953	-0.014038735069334507	-0.50004375	No	
row_37	FFAR2	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]	11100	-0.015092296525835991	-0.5068376	No	
row_38	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	11452	-0.01745441183447838	-0.52376103	No	
row_39	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]	11732	-0.01921015791594982	-0.5370457	No	
row_40	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	12248	-0.02246372029185295	-0.561975	No	
row_41	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	12598	-0.02501845732331276	-0.5785618	No	
row_42	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	12630	-0.02522599883377552	-0.57931405	No	
row_43	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	12893	-0.02709743194282055	-0.5915054	No	
row_44	ADRM1	adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]	12992	-0.02781680040061474	-0.5955113	No	
row_45	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	13152	-0.029031619429588318	-0.60251534	No	
row_46	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	13312	-0.030263390392065048	-0.60948074	No	
row_47	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	13321	-0.030348949134349823	-0.60892767	No	
row_48	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]	13374	-0.03074793703854084	-0.61055213	No	
row_49	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	13803	-0.03429260849952698	-0.63078034	No	
row_50	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	13814	-0.034425102174282074	-0.630199	No	
row_51	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	14071	-0.036468204110860825	-0.641798	No	
row_52	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	14164	-0.0376659519970417	-0.64519656	No	
row_53	MEP1A	meprin A subunit alpha [Source:HGNC Symbol;Acc:HGNC:7015]	14256	-0.03857874497771263	-0.6485167	No	
row_54	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	14331	-0.039327822625637054	-0.6509673	No	
row_55	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]	14357	-0.03962729126214981	-0.65096956	No	
