NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	803	0.16437453031539917	-0.030932212	No	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	3568	0.0635407567024231	-0.1643844	No	
row_2	MVB12A	multivesicular body subunit 12A [Source:HGNC Symbol;Acc:HGNC:25153]	3680	0.061697252094745636	-0.16656646	No	
row_3	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	4326	0.050812017172575	-0.19577546	No	
row_4	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	8572	0.0021333007607609034	-0.4058614	No	
row_5	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	9984	-0.008024505339562893	-0.47529912	No	
row_6	RNF31	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]	10386	-0.010543773882091045	-0.49458912	No	
row_7	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	11180	-0.015583112835884094	-0.5330191	No	
row_8	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	11452	-0.01745441183447838	-0.54550064	No	
row_9	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	11513	-0.01783108152449131	-0.54751384	No	
row_10	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	12624	-0.025208933278918266	-0.6011237	No	
row_11	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	13133	-0.028913719579577446	-0.6247252	No	
row_12	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	13624	-0.03283543512225151	-0.6472247	No	
row_13	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	13956	-0.03550628572702408	-0.6617076	No	
row_14	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	14075	-0.03648505359888077	-0.66559064	No	
row_15	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	14182	-0.03781666234135628	-0.668808	No	
row_16	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	14218	-0.03817545622587204	-0.6684903	No	
row_17	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	14867	-0.04552999138832092	-0.6981316	No	
row_18	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	14987	-0.047099415212869644	-0.70149404	No	
row_19	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	15133	-0.049074575304985046	-0.70603776	No	
row_20	NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]	15368	-0.05242833495140076	-0.71480834	No	
row_21	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	15543	-0.0551103800535202	-0.7204639	No	
row_22	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	15913	-0.06095235049724579	-0.73546135	No	
row_23	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	15963	-0.06177566573023796	-0.7345692	No	
row_24	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	16109	-0.0643266811966896	-0.7382936	No	
row_25	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	16373	-0.06996989250183105	-0.7475579	No	
row_26	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	16665	-0.07655643671751022	-0.7578548	No	
row_27	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	16747	-0.07841922342777252	-0.75765306	No	
row_28	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	16815	-0.08019588887691498	-0.7566626	No	
row_29	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	17080	-0.08725002408027649	-0.76504815	No	
row_30	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	17210	-0.09096953272819519	-0.76654905	No	
row_31	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	17290	-0.09345753490924835	-0.7654404	No	
row_32	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	17339	-0.09477623552083969	-0.7627259	No	
row_33	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	17350	-0.09505394846200943	-0.7581148	No	
row_34	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	17582	-0.10251644998788834	-0.7640462	No	
row_35	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	17987	-0.11883676052093506	-0.7776673	No	
row_36	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	18171	-0.12641121447086334	-0.7799382	Yes	
row_37	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	18315	-0.13292066752910614	-0.77987874	Yes	
row_38	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	18320	-0.1333087980747223	-0.77291554	Yes	
row_39	TENT5A	terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345]	18369	-0.1360996812582016	-0.7679812	Yes	
row_40	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	18466	-0.14222966134548187	-0.76509434	Yes	
row_41	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	18517	-0.1451471745967865	-0.75977296	Yes	
row_42	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	18671	-0.1553250551223755	-0.7590051	Yes	
row_43	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	18698	-0.15711982548236847	-0.7518522	Yes	
row_44	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	18717	-0.15840594470500946	-0.744234	Yes	
row_45	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	18842	-0.16597913205623627	-0.7414579	Yes	
row_46	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	18967	-0.17473411560058594	-0.7382114	Yes	
row_47	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	18980	-0.17584200203418732	-0.72935945	Yes	
row_48	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	18998	-0.17666850984096527	-0.7207107	Yes	
row_49	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	19036	-0.1812247931957245	-0.71280754	Yes	
row_50	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	19083	-0.1855355203151703	-0.7051185	Yes	
row_51	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	19120	-0.1892939805984497	-0.69673234	Yes	
row_52	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	19196	-0.1958952099084854	-0.68992275	Yes	
row_53	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	19233	-0.19890344142913818	-0.6810204	Yes	
row_54	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	19308	-0.20620375871658325	-0.6736075	Yes	
row_55	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	19314	-0.20710961520671844	-0.6627293	Yes	
row_56	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	19324	-0.20796388387680054	-0.6520032	Yes	
row_57	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	19333	-0.20959728956222534	-0.6411399	Yes	
row_58	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	19337	-0.20984816551208496	-0.63001555	Yes	
row_59	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	19353	-0.21156592667102814	-0.6193931	Yes	
row_60	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	19366	-0.21349449455738068	-0.60851854	Yes	
row_61	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	19382	-0.21587488055229187	-0.5976646	Yes	
row_62	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	19427	-0.22066688537597656	-0.5879893	Yes	
row_63	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	19454	-0.22332453727722168	-0.57727987	Yes	
row_64	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	19489	-0.22925694286823273	-0.5666479	Yes	
row_65	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	19561	-0.23959653079509735	-0.55729264	Yes	
row_66	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	19578	-0.24183261394500732	-0.5450938	Yes	
row_67	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	19603	-0.24634261429309845	-0.5330488	Yes	
row_68	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	19626	-0.24981680512428284	-0.52071816	Yes	
row_69	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	19652	-0.25444284081459045	-0.5082876	Yes	
row_70	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	19700	-0.2627641260623932	-0.49649936	Yes	
row_71	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	19705	-0.26370111107826233	-0.48253155	Yes	
row_72	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	19709	-0.2643708884716034	-0.46847826	Yes	
row_73	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	19743	-0.27033939957618713	-0.45558986	Yes	
row_74	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	19747	-0.27174532413482666	-0.44114038	Yes	
row_75	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	19886	-0.29985445737838745	-0.43186575	Yes	
row_76	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	20001	-0.3385642468929291	-0.41932324	Yes	
row_77	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	20016	-0.342876672744751	-0.40159735	Yes	
row_78	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	20024	-0.3461792767047882	-0.38334742	Yes	
row_79	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	20034	-0.3495762050151825	-0.36501405	Yes	
row_80	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	20102	-0.3785455524921417	-0.34799644	Yes	
