NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYCN	MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]	11	0.5097299814224243	0.016825061	No	
row_1	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	149	0.2817944288253784	0.019610504	No	
row_2	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	161	0.2784866690635681	0.028554365	No	
row_3	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	184	0.2701030969619751	0.036665015	No	
row_4	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	221	0.25518324971199036	0.043570377	No	
row_5	HOXD11	homeobox D11 [Source:HGNC Symbol;Acc:HGNC:5134]	285	0.2370596081018448	0.048514232	No	
row_6	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	834	0.1620500385761261	0.02676266	No	
row_7	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	1469	0.12429565191268921	-5.5596104E-4	No	
row_8	ZNF639	zinc finger protein 639 [Source:HGNC Symbol;Acc:HGNC:30950]	1563	0.12002433091402054	-0.0010940172	No	
row_9	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	1820	0.11028388142585754	-0.010076728	No	
row_10	ETV4	ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]	2201	0.09660903364419937	-0.025697112	No	
row_11	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	2399	0.090779609978199	-0.032408074	No	
row_12	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	2561	0.08585096150636673	-0.03749525	No	
row_13	TPH1	tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]	2634	0.08400668203830719	-0.038215663	No	
row_14	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	3258	0.07001469284296036	-0.0668368	No	
row_15	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	3368	0.06754269450902939	-0.069959864	No	
row_16	WDR33	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	3595	0.06309151649475098	-0.07905785	No	
row_17	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	3749	0.06036927551031113	-0.08461532	No	
row_18	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	3768	0.06002052128314972	-0.08346559	No	
row_19	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	4718	0.04528935253620148	-0.12915477	No	
row_20	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	4751	0.0449419766664505	-0.12921575	No	
row_21	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	5170	0.03835331276059151	-0.14871289	No	
row_22	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	5257	0.0373363196849823	-0.1517207	No	
row_23	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	5302	0.03659011051058769	-0.15266357	No	
row_24	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	5353	0.03592967614531517	-0.15392758	No	
row_25	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	5423	0.0350734144449234	-0.15616642	No	
row_26	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	5576	0.033181965351104736	-0.16260071	No	
