NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	527	0.1945265829563141	0.048504002	No	
row_1	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	837	0.16170696914196014	0.09519647	No	
row_2	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	5740	0.03097277507185936	-0.13490534	No	
row_3	APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	6465	0.022175289690494537	-0.16214788	No	
row_4	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	7126	0.01518977526575327	-0.18890725	No	
row_5	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	7175	0.014693476259708405	-0.18564796	No	
row_6	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	7284	0.013604395091533661	-0.1857675	No	
row_7	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	7901	0.007864668034017086	-0.21316102	No	
row_8	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	8106	0.005922998301684856	-0.2209617	No	
row_9	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	10358	-0.01033727079629898	-0.32811293	No	
row_10	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	12062	-0.021285535767674446	-0.4040205	No	
row_11	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	12181	-0.022046072408556938	-0.4013999	No	
row_12	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	12591	-0.02498849853873253	-0.41201612	No	
row_13	DTX1	deltex E3 ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:3060]	14612	-0.0423833504319191	-0.49548915	Yes	
row_14	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	14821	-0.04494059085845947	-0.48854083	Yes	
row_15	PSENEN	presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100]	14833	-0.045162901282310486	-0.47178328	Yes	
row_16	DTX4	deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]	15402	-0.05289176106452942	-0.479559	Yes	
row_17	DTX2	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	15705	-0.05746723338961601	-0.47245204	Yes	
row_18	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	16300	-0.06857690215110779	-0.47550264	Yes	
row_19	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	16519	-0.07359157502651215	-0.45807263	Yes	
row_20	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	16520	-0.07361450046300888	-0.4298732	Yes	
row_21	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560]	17335	-0.09466519951820374	-0.43378955	Yes	
row_22	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	17373	-0.09578035771846771	-0.3989254	Yes	
row_23	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	17384	-0.09611853957176208	-0.36259896	Yes	
row_24	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	17863	-0.11356667429208755	-0.3426895	Yes	
row_25	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	17904	-0.11512153595685959	-0.30056444	Yes	
row_26	MAML2	mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]	18236	-0.12874625623226166	-0.26758415	Yes	
row_27	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	18423	-0.13994820415973663	-0.22315542	Yes	
row_28	HEYL	hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]	18558	-0.14781609177589417	-0.17314598	Yes	
row_29	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	18788	-0.16209621727466583	-0.12235554	Yes	
row_30	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	19465	-0.22571472823619843	-0.06925908	Yes	
row_31	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	19826	-0.28697770833969116	0.022903344	Yes	
