NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	287	0.23620501160621643	-0.002322216	No	
row_1	H2AW	H2A.W histone [Source:HGNC Symbol;Acc:HGNC:20507]	421	0.21097178757190704	0.0017427353	No	
row_2	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	549	0.1918170005083084	0.0051362184	No	
row_3	PVT1	Pvt1 oncogene [Source:HGNC Symbol;Acc:HGNC:9709]	640	0.18040575087070465	0.009793391	No	
row_4	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	696	0.17525559663772583	0.015931804	No	
row_5	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	723	0.17239412665367126	0.023368727	No	
row_6	TPRKB	TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259]	971	0.15076905488967896	0.018710481	No	
row_7	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1029	0.1464872807264328	0.023292352	No	
row_8	NOL8	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	1225	0.1363321989774704	0.020491164	No	
row_9	NUDT15	nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]	1251	0.13504646718502045	0.02608636	No	
row_10	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1302	0.13249212503433228	0.03030785	No	
row_11	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	1316	0.1319473385810852	0.03634337	No	
row_12	EI24	EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276]	1434	0.12600132822990417	0.036901303	No	
row_13	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	1555	0.12039429694414139	0.03702594	No	
row_14	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	1575	0.11958537995815277	0.04213674	No	
row_15	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	1751	0.11287807673215866	0.03914317	No	
row_16	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	2132	0.09875503927469254	0.025230754	No	
row_17	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	2247	0.09536544978618622	0.024386428	No	
row_18	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	2395	0.09087163209915161	0.021671984	No	
