NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	1008	0.14809003472328186	-0.0031891775	No	
row_1	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	1483	0.12339160591363907	0.012221087	No	
row_2	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	3230	0.07056950777769089	-0.05179713	No	
row_3	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	3238	0.0704013854265213	-0.029995933	No	
row_4	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	5223	0.03765120357275009	-0.11612209	No	
row_5	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	5360	0.03584105148911476	-0.11156294	No	
row_6	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	5807	0.030076146125793457	-0.12412519	No	
row_7	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	6256	0.02439824305474758	-0.13857235	No	
row_8	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	7189	0.014576292596757412	-0.18000937	No	
row_9	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	7265	0.013753333128988743	-0.17938636	No	
row_10	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	8412	0.0032820585183799267	-0.23494369	No	
row_11	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	8658	0.0015263155801221728	-0.2465617	No	
row_12	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	9098	-0.0019653700292110443	-0.2676214	No	
row_13	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	9845	-0.006928994320333004	-0.30227935	No	
row_14	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	10242	-0.009530754759907722	-0.31883577	No	
