NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	65	0.34297069907188416	0.03846355	No	
row_1	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	526	0.19539722800254822	0.039424498	No	
row_2	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	973	0.15055252611637115	0.035628695	No	
row_3	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	1207	0.1372339427471161	0.040765543	No	
row_4	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	1652	0.11654750257730484	0.03293596	No	
row_5	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1733	0.11354082822799683	0.042772364	No	
row_6	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2358	0.09202086925506592	0.023045273	No	
row_7	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	2663	0.08331754803657532	0.018112198	No	
row_8	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	2720	0.08180844783782959	0.025280844	No	
row_9	ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	3101	0.07309112697839737	0.015340086	No	
row_10	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	3126	0.07261369377374649	0.022976413	No	
row_11	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	3661	0.06213117390871048	0.00407495	No	
row_12	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	4115	0.05436192825436592	-0.011758277	No	
row_13	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	4678	0.04579421877861023	-0.034032308	No	
row_14	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	4691	0.04563666135072708	-0.029080233	No	
row_15	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	4723	0.045249469578266144	-0.025116414	No	
row_16	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	5099	0.039399851113557816	-0.038904205	No	
row_17	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	5196	0.03807720169425011	-0.039031975	No	
row_18	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	5785	0.03029882162809372	-0.06447722	No	
row_19	GNGT1	G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]	6006	0.02752234786748886	-0.07203035	No	
row_20	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	6262	0.024339357390999794	-0.081704125	No	
row_21	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	6383	0.023110242560505867	-0.084839806	No	
row_22	MAPKAP1	MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]	6836	0.01823674887418747	-0.105014026	No	
row_23	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	7169	0.014771523885428905	-0.119664975	No	
row_24	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	7497	0.011648749932646751	-0.13444777	No	
row_25	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7763	0.009092996828258038	-0.14646989	No	
row_26	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	7782	0.008926493115723133	-0.14627667	No	
row_27	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]	8233	0.004876077640801668	-0.16797562	No	
row_28	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	8416	0.0032598015386611223	-0.17659514	No	
row_29	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	8564	0.002192220650613308	-0.18361062	No	
row_30	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	8863	-1.1854754848172888E-4	-0.19835818	No	
row_31	FGF6	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]	8922	-6.655335891991854E-4	-0.20115043	No	
row_32	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	9122	-0.0021448018960654736	-0.21074758	No	
row_33	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	9175	-0.0024532140232622623	-0.21302535	No	
row_34	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	9383	-0.003900123992934823	-0.22280547	No	
row_35	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	9536	-0.004830475896596909	-0.22974798	No	
row_36	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	10059	-0.008426526561379433	-0.25458208	No	
row_37	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	10343	-0.010252401232719421	-0.26735497	No	
row_38	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	10575	-0.011676589027047157	-0.27737883	No	
row_39	RPTOR	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	10684	-0.012293717823922634	-0.28123468	No	
row_40	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	10863	-0.013535639271140099	-0.28840715	No	
row_41	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	10896	-0.013718480244278908	-0.28832504	No	
row_42	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	11644	-0.01863802969455719	-0.32306385	No	
row_43	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	11691	-0.01892317272722721	-0.3230427	No	
row_44	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	11895	-0.02016538567841053	-0.33064786	No	
row_45	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	12065	-0.02128932997584343	-0.33643213	No	
row_46	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	12266	-0.022588402032852173	-0.3435942	No	
row_47	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	12270	-0.022633720189332962	-0.34099197	No	
row_48	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	12334	-0.02305920608341694	-0.34131026	No	
row_49	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	12524	-0.0245751291513443	-0.34768593	No	
