NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	2894	0.07767350971698761	-0.12601277	No	
row_1	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	3073	0.07364552468061447	-0.118697114	No	
row_2	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	3463	0.06550201773643494	-0.12358946	No	
row_3	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	4318	0.05096398666501045	-0.15464	No	
row_4	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	4639	0.046511996537446976	-0.1602772	No	
row_5	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	5196	0.03807720169425011	-0.17942148	No	
row_6	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	5366	0.03579268231987953	-0.17994218	No	
row_7	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	6262	0.024339357390999794	-0.21884337	No	
row_8	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	6403	0.02285323478281498	-0.22076179	No	
row_9	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	6801	0.01856257952749729	-0.2363184	No	
row_10	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	7146	0.015008113346993923	-0.25003365	No	
row_11	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	8845	3.146388189634308E-5	-0.3339325	No	
row_12	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	8959	-9.387024329043925E-4	-0.33931094	No	
row_13	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8968	-9.775059297680855E-4	-0.3394924	No	
row_14	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	9560	-0.005008768290281296	-0.3676006	No	
row_15	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	9571	-0.005091492086648941	-0.36698085	No	
row_16	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	10119	-0.00881083682179451	-0.39208302	No	
row_17	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	10556	-0.011580191552639008	-0.4110943	No	
