NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	164	0.2773868143558502	2.6424025E-4	No	
row_1	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	770	0.16835758090019226	-0.024733989	No	
row_2	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1543	0.12120255082845688	-0.059476983	No	
row_3	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2326	0.09299495071172714	-0.09557467	No	
row_4	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	2974	0.07588177919387817	-0.12547283	No	
row_5	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	4182	0.0530010350048542	-0.1839393	No	
row_6	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	4406	0.049725309014320374	-0.19352812	No	
row_7	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	5362	0.03583298996090889	-0.23997323	No	
row_8	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	5594	0.0329425148665905	-0.2504701	No	
row_9	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	6406	0.022801784798502922	-0.29014373	No	
row_10	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	6449	0.022417254745960236	-0.29155317	No	
row_11	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	6690	0.01987212337553501	-0.3028951	No	
row_12	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	7157	0.014900412410497665	-0.32563686	No	
row_13	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	7166	0.014834682457149029	-0.32558438	No	
row_14	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	7832	0.008438133634626865	-0.35842744	No	
row_15	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	8217	0.0049392892979085445	-0.3773904	No	
row_16	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	8628	0.0017392110312357545	-0.39774472	No	
row_17	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	8684	0.001380091649480164	-0.40044034	No	
row_18	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8968	-9.775059297680855E-4	-0.41449654	No	
row_19	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	9560	-0.005008768290281296	-0.44376054	No	
row_20	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	9896	-0.007378406822681427	-0.4602105	No	
row_21	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	10113	-0.008737423457205296	-0.47069615	No	
row_22	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	10199	-0.009298164397478104	-0.47464442	No	
row_23	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	10215	-0.009386509656906128	-0.47510585	No	
row_24	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	10697	-0.012341167777776718	-0.49867198	No	
row_25	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	10804	-0.013144721277058125	-0.5035486	No	
row_26	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	11109	-0.01515711098909378	-0.5182193	No	
row_27	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	11267	-0.016184112057089806	-0.5255421	No	
row_28	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	11334	-0.01671888306736946	-0.52831924	No	
row_29	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	12074	-0.02134120836853981	-0.5644535	No	
row_30	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	12248	-0.02246372029185295	-0.57238185	No	
