NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	141	0.2869129180908203	0.013896194	No	
row_1	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	147	0.28263959288597107	0.034236185	No	
row_2	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	195	0.2648696303367615	0.051195633	No	
row_3	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	940	0.15308579802513123	0.02539262	No	
row_4	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	1026	0.14665023982524872	0.03185315	No	
row_5	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	1127	0.14165344834327698	0.037204657	No	
row_6	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	1232	0.1359134167432785	0.041939363	No	
row_7	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	1258	0.1346130669116974	0.05050325	No	
row_8	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	1506	0.1224772110581398	0.047156453	No	
row_9	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	1527	0.12184280157089233	0.055038463	No	
row_10	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	1634	0.11724873632192612	0.058314238	No	
row_11	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	1811	0.11040056496858597	0.05761429	No	
row_12	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	1824	0.10999387502670288	0.065030545	No	
row_13	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	1999	0.10279206931591034	0.06387571	No	
row_14	TGFBRAP1	transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]	2174	0.09724147617816925	0.06231655	No	
row_15	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	2279	0.09434399008750916	0.06402321	No	
row_16	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	2378	0.09133224189281464	0.065808505	No	
row_17	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2445	0.08931831270456314	0.06903652	No	
row_18	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	2564	0.08582355827093124	0.069427155	No	
row_19	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	2720	0.08180844783782959	0.06768753	No	
row_20	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	2780	0.0802602544426918	0.07060342	No	
row_21	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	2794	0.07990750670433044	0.075778425	No	
row_22	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2968	0.07597915828227997	0.072720125	No	
row_23	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	2974	0.07588177919387817	0.077999234	No	
row_24	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	3147	0.07218543440103531	0.07471426	No	
row_25	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	3170	0.07171688973903656	0.078845605	No	
