NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	165	0.2769429385662079	0.007968725	No	
row_1	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	223	0.2544783353805542	0.020000419	No	
row_2	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	379	0.21711139380931854	0.024971012	No	
row_3	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	625	0.18254591524600983	0.023442378	No	
row_4	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	673	0.1766972690820694	0.031427175	No	
row_5	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	737	0.17130203545093536	0.03830036	No	
row_6	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	768	0.16846449673175812	0.046650283	No	
row_7	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	904	0.15541820228099823	0.049011707	No	
row_8	DHPS	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	1081	0.14366869628429413	0.04864591	No	
row_9	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	1282	0.13337551057338715	0.04648413	No	
row_10	MCCC2	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	1541	0.12129262089729309	0.040729508	No	
row_11	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	1573	0.1196369081735611	0.04617673	No	
row_12	LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	1663	0.11610674113035202	0.04853083	No	
row_13	HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]	1776	0.11166995018720627	0.0494809	No	
