NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	Details ...	434	0.6278093	1.9244802	0.0	0.089931905	0.032	3594	tags=42%, list=18%, signal=50%	
DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	DOWN-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	Details ...	447	0.6694104	1.8440735	0.0020833334	0.12988915	0.08	3131	tags=41%, list=15%, signal=48%	
SARS CORONAVIRUS E2 GLYCOPROTEIN PRECURSOR FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS E2 GLYCOPROTEIN PRECURSOR FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	68	0.63327235	1.7994795	0.0	0.13199343	0.121	2659	tags=37%, list=13%, signal=42%	
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	Details ...	419	0.6751004	1.7877347	0.0	0.11669574	0.134	2961	tags=41%, list=15%, signal=47%	
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	Details ...	379	0.5953108	1.7433829	0.0	0.1374625	0.174	4195	tags=43%, list=21%, signal=53%	
SARS PERTURBATION UP GENES PBMCS GDS1028:GPL201	SARS PERTURBATION UP GENES PBMCS GDS1028:GPL201	Details ...	265	0.57810724	1.7187032	0.0125	0.14543362	0.215	3887	tags=43%, list=19%, signal=53%	
SARS PERTURBATION DOWN GENES PBMCS GDS1028:GPL201	SARS PERTURBATION DOWN GENES PBMCS GDS1028:GPL201	Details ...	209	0.7220343	1.7085136	0.004016064	0.13714446	0.23	2579	tags=49%, list=13%, signal=55%	
SARS 133 LITERATURE-ASSOCIATED GENES FROM GENESHOT GENERIF	SARS 133 LITERATURE-ASSOCIATED GENES FROM GENESHOT GENERIF	Details ...	127	0.6460922	1.6915482	0.0	0.14607798	0.261	2211	tags=38%, list=11%, signal=42%	
DOWN-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	DOWN-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	Details ...	382	0.54460967	1.6798191	0.01010101	0.14172657	0.272	2931	tags=31%, list=14%, signal=35%	
UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	Details ...	368	0.476728	1.6604421	0.021231422	0.15151879	0.303	3029	tags=27%, list=15%, signal=32%	
