NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	207	0.64727783	2.009238	0.0	0.05485917	0.116	4977	tags=79%, list=25%, signal=103%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	128	0.5956256	1.9056113	0.004210526	0.0979287	0.3	5577	tags=79%, list=27%, signal=108%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS	Details ...	15	0.81712365	1.8071165	0.037694015	0.19089854	0.597	3722	tags=100%, list=18%, signal=122%	
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	Details ...	117	0.47258162	1.7524368	0.043052837	0.2665342	0.749	7218	tags=66%, list=36%, signal=102%	
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K27ME3	Details ...	269	0.479125	1.6964116	0.026748972	0.3966252	0.856	5782	tags=72%, list=28%, signal=99%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	25	0.652014	1.6924436	0.02396514	0.3456397	0.864	4277	tags=72%, list=21%, signal=91%	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	Details ...	109	0.4684006	1.6595533	0.06097561	0.42573693	0.91	6345	tags=68%, list=31%, signal=98%	
WEBER_METHYLATED_LCP_IN_SPERM_UP	WEBER_METHYLATED_LCP_IN_SPERM_UP	Details ...	15	0.6987017	1.6489347	0.021786492	0.41864738	0.921	2197	tags=67%, list=11%, signal=75%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	370	0.6814323	1.6362888	0.006637168	0.42426187	0.924	4006	tags=69%, list=20%, signal=84%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	370	0.6603164	1.6172948	0.00877193	0.46451536	0.943	4006	tags=67%, list=20%, signal=82%	
