NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	GO_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	Details ...	51	0.67695767	2.0583143	0.0	0.047420718	0.018	3435	tags=45%, list=17%, signal=54%	
GO_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	GO_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	Details ...	157	0.5918981	1.9743706	0.0	0.13244238	0.088	5195	tags=47%, list=26%, signal=63%	
GO_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	GO_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	Details ...	113	0.6172728	1.9313713	0.0	0.17681336	0.158	3806	tags=45%, list=19%, signal=55%	
GO_POTASSIUM_ION_HOMEOSTASIS	GO_POTASSIUM_ION_HOMEOSTASIS	Details ...	29	0.6681453	1.9277858	0.0	0.14231299	0.172	5135	tags=52%, list=25%, signal=69%	
GO_DETECTION_OF_TEMPERATURE_STIMULUS	GO_DETECTION_OF_TEMPERATURE_STIMULUS	Details ...	23	0.7965469	1.9276403	0.0	0.11462878	0.172	1241	tags=39%, list=6%, signal=42%	
GO_REGULATION_OF_PH	GO_REGULATION_OF_PH	Details ...	102	0.59733075	1.9119797	0.0	0.12967691	0.209	3139	tags=38%, list=15%, signal=45%	
GO_REGULATION_OF_CELLULAR_PH	GO_REGULATION_OF_CELLULAR_PH	Details ...	93	0.59490967	1.908986	0.0	0.11716884	0.221	3139	tags=39%, list=15%, signal=46%	
GO_SNARE_COMPLEX_ASSEMBLY	GO_SNARE_COMPLEX_ASSEMBLY	Details ...	20	0.7072344	1.9063731	0.0	0.10855291	0.232	5067	tags=75%, list=25%, signal=100%	
GO_LONG_TERM_SYNAPTIC_POTENTIATION	GO_LONG_TERM_SYNAPTIC_POTENTIATION	Details ...	87	0.6560892	1.9051795	0.0	0.09886204	0.235	4619	tags=52%, list=23%, signal=67%	
GO_LOCOMOTORY_BEHAVIOR	GO_LOCOMOTORY_BEHAVIOR	Details ...	196	0.5992695	1.9007516	0.0	0.094330646	0.246	3805	tags=44%, list=19%, signal=54%	
