NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	0.7232491	1.9015558	0.0	2.5607002E-4	0.001	4437	tags=80%, list=22%, signal=101%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.7131495	1.8583468	0.001996008	0.0010292339	0.003	2176	tags=62%, list=11%, signal=69%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.77503026	1.6472446	0.018595042	0.035706554	0.147	3049	tags=77%, list=15%, signal=89%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.7362829	1.6466784	0.024640657	0.026839755	0.147	2615	tags=62%, list=13%, signal=70%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	0.45284027	1.5179006	0.05487805	0.0826297	0.368	4355	tags=39%, list=21%, signal=50%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.45926592	1.4316891	0.11553785	0.13096415	0.507	3862	tags=43%, list=19%, signal=53%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.4665427	1.3185717	0.20631579	0.21425931	0.67	1615	tags=23%, list=8%, signal=24%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.43262404	1.3106858	0.27855712	0.19434084	0.684	5789	tags=54%, list=29%, signal=75%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	0.3562405	1.1879448	0.21818182	0.28404376	0.806	3296	tags=27%, list=16%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	0.37921387	1.0840691	0.40206185	0.35302168	0.879	4426	tags=40%, list=22%, signal=50%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.1951843	0.66528875	0.892057	0.7965152	0.991	4070	tags=22%, list=20%, signal=27%	
