NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	488	0.21802204847335815	0.2439274	Yes	
row_1	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	589	0.19866615533828735	0.48319823	Yes	
row_2	NUP54	nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]	3770	0.060694996267557144	0.40096956	Yes	
row_3	DCAF7	DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]	4041	0.05660511180758476	0.457233	Yes	
row_4	MIB1	mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]	4789	0.04688046872615814	0.47801745	Yes	
row_5	NUP214	nucleoporin 214 [Source:HGNC Symbol;Acc:HGNC:8064]	4790	0.04686737805604935	0.53562737	Yes	
row_6	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	5160	0.04264098405838013	0.5698433	Yes	
row_7	GTF2F2	general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]	5281	0.04119047895073891	0.6145568	Yes	
row_8	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	5446	0.03952501341700554	0.655053	Yes	
row_9	ZNF503	zinc finger protein 503 [Source:HGNC Symbol;Acc:HGNC:23589]	7777	0.017704416066408157	0.56190133	No	
row_10	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	8073	0.015431126579642296	0.56632024	No	
row_11	MAT2B	methionine adenosyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:6905]	9140	0.007668057922273874	0.5231714	No	
row_12	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	9409	0.005582114215940237	0.5168154	No	
row_13	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	10368	-0.001390492427162826	0.47127667	No	
row_14	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]	12296	-0.014660639688372612	0.3942592	No	
