NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	5	0.6001551151275635	0.019854084	Yes	
row_1	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	7	0.5902240872383118	0.039574582	Yes	
row_2	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	9	0.5701201558113098	0.058621675	Yes	
row_3	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	18	0.5124781131744385	0.075389616	Yes	
row_4	CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	19	0.4999470114707947	0.092135936	Yes	
row_5	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	21	0.49363458156585693	0.10862105	Yes	
row_6	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	25	0.48705166578292847	0.12478614	Yes	
row_7	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	27	0.4850223958492279	0.14098278	Yes	
row_8	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	31	0.47800567746162415	0.15684485	Yes	
row_9	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	43	0.45748424530029297	0.17162141	Yes	
row_10	CD3G	CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]	44	0.4571768343448639	0.1869351	Yes	
row_11	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	49	0.45071467757225037	0.20183326	Yes	
row_12	CCL19	C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]	64	0.41856271028518677	0.2151568	Yes	
row_13	CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	70	0.4057106375694275	0.22849773	Yes	
row_14	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	72	0.40550416707992554	0.24203081	Yes	
row_15	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	79	0.39507097005844116	0.25496557	Yes	
row_16	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	90	0.3826637864112854	0.2672857	Yes	
row_17	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	105	0.375	0.27915007	Yes	
