NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	2	0.6181320548057556	0.038205262	Yes	
row_1	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	6	0.5988657474517822	0.07516694	Yes	
row_2	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	31	0.47800567746162415	0.103595905	Yes	
row_3	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	103	0.37570813298225403	0.123350844	Yes	
row_4	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	104	0.37509095668792725	0.1465946	Yes	
row_5	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	106	0.3735593259334564	0.16969378	Yes	
row_6	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	107	0.37298139929771423	0.19280681	Yes	
row_7	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	128	0.351962685585022	0.21362382	Yes	
row_8	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	142	0.3386884927749634	0.23396598	Yes	
row_9	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	178	0.3233766257762909	0.25226638	Yes	
row_10	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	257	0.2857515811920166	0.26609913	Yes	
row_11	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	297	0.26621538400650024	0.28065863	Yes	
row_12	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	328	0.25732898712158203	0.29511458	Yes	
row_13	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	373	0.24286730587482452	0.30797887	Yes	
row_14	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	397	0.23667912185192108	0.3215029	Yes	
row_15	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	403	0.2350456416606903	0.3358199	Yes	
row_16	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	405	0.23465962707996368	0.3503117	Yes	
row_17	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	430	0.22938260436058044	0.3633339	Yes	
row_18	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	475	0.22023695707321167	0.37479582	Yes	
row_19	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	505	0.21341536939144135	0.3865802	Yes	
row_20	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	552	0.20370575785636902	0.39691836	Yes	
row_21	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	585	0.1993209719657898	0.40768027	Yes	
row_22	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	641	0.19046509265899658	0.41675082	Yes	
row_23	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	651	0.18882817029953003	0.4280051	Yes	
row_24	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	715	0.17948289215564728	0.4359977	Yes	
row_25	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	736	0.17655353248119354	0.4459449	Yes	
row_26	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	788	0.17024819552898407	0.45396137	Yes	
row_27	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	815	0.16610580682754517	0.46296304	Yes	
row_28	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	904	0.1571148782968521	0.4683276	Yes	
row_29	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	972	0.1509731411933899	0.4743548	Yes	
row_30	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	1042	0.14453114569187164	0.47988343	Yes	
row_31	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	1085	0.1394810825586319	0.48644042	Yes	
row_32	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	1089	0.13903291523456573	0.49490702	Yes	
row_33	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	1105	0.13817349076271057	0.50272423	Yes	
row_34	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1134	0.1365090012550354	0.5097925	Yes	
row_35	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	1141	0.13616633415222168	0.5179325	Yes	
row_36	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	1183	0.13343417644500732	0.5241644	Yes	
row_37	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	1236	0.13092678785324097	0.5296945	Yes	
row_38	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	1308	0.12744826078414917	0.5340652	Yes	
row_39	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	1316	0.12708871066570282	0.5415929	Yes	
row_40	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	1481	0.11844567209482193	0.54078573	Yes	
row_41	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1488	0.11809944361448288	0.54780614	Yes	
row_42	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	1513	0.11701369285583496	0.553865	Yes	
row_43	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	1524	0.11626110970973969	0.56057274	Yes	
row_44	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	1529	0.11590629070997238	0.56755656	Yes	
row_45	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	1535	0.11561913788318634	0.5744729	Yes	
row_46	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	1582	0.11406389623880386	0.5792561	Yes	
row_47	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1638	0.11205936223268509	0.583468	Yes	
row_48	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1648	0.11179264634847641	0.5899485	Yes	
row_49	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1733	0.10850105434656143	0.59249926	Yes	
row_50	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1746	0.10819166153669357	0.5986076	Yes	
row_51	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1786	0.10663316398859024	0.60327804	Yes	
row_52	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	1797	0.10616330802440643	0.60936004	Yes	
row_53	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1897	0.10291041433811188	0.6108192	Yes	
row_54	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	1975	0.10021678358316422	0.61320436	Yes	
row_55	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2015	0.09851844608783722	0.617372	Yes	
row_56	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	2218	0.0925755575299263	0.61307395	Yes	
row_57	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	2251	0.09161360561847687	0.6171614	Yes	
row_58	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	2328	0.08907938003540039	0.6189061	Yes	
row_59	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	2526	0.08350556343793869	0.61429435	Yes	
row_60	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	2691	0.07981841266155243	0.6110935	Yes	
row_61	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2800	0.07772788405418396	0.6105451	Yes	
row_62	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	2812	0.07754524052143097	0.61480397	Yes	
row_63	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2837	0.07691361010074615	0.6183779	Yes	
row_64	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2926	0.07537902891635895	0.61867744	Yes	
row_65	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	2927	0.07534559071063995	0.6233465	Yes	
row_66	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	2934	0.07523076236248016	0.62771034	Yes	
row_67	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	2955	0.0748608410358429	0.6313558	Yes	
row_68	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	2964	0.07466373592615128	0.6355852	Yes	
row_69	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	2983	0.0742812305688858	0.6392941	Yes	
row_70	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	3206	0.07024022191762924	0.6326184	Yes	
row_71	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	3213	0.07014285773038864	0.636667	Yes	
row_72	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3289	0.06881994009017944	0.6372059	Yes	
row_73	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	3300	0.06872134655714035	0.64096767	Yes	
row_74	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3371	0.06749939173460007	0.6416731	Yes	
row_75	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3575	0.0640297532081604	0.63555646	No	
row_76	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	3712	0.06177792325615883	0.6326287	No	
row_77	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	4013	0.05695382133126259	0.62125486	No	
row_78	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	4043	0.05654824152588844	0.62331843	No	
row_79	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	4272	0.05323980748653412	0.61529124	No	
row_80	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	4384	0.05180598422884941	0.6129874	No	
row_81	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	4456	0.05106287822127342	0.6126246	No	
row_82	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	4506	0.050235770642757416	0.6133035	No	
row_83	DFFA	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	4577	0.049301885068416595	0.61288124	No	
row_84	MADD	MAP kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]	4761	0.04727472737431526	0.60671985	No	
row_85	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	4862	0.04606286436319351	0.60460657	No	
row_86	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	4911	0.04545333608984947	0.60503876	No	
row_87	PEA15	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	5026	0.0442010872066021	0.6021146	No	
row_88	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	5223	0.04178958386182785	0.59496754	No	
row_89	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	5637	0.03745527192950249	0.5767719	No	
row_90	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	5648	0.037345197051763535	0.5785894	No	
row_91	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	5704	0.036885183304548264	0.5781429	No	
row_92	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	5845	0.035479992628097534	0.5733867	No	
row_93	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	5850	0.03546622395515442	0.57538575	No	
row_94	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	5939	0.03447709605097771	0.5731507	No	
row_95	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	6019	0.03370625898241997	0.57131493	No	
row_96	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	6119	0.03283156454563141	0.5684314	No	
row_97	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	6198	0.03195034712553024	0.5665365	No	
row_98	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	6316	0.03071371279656887	0.56262755	No	
row_99	BCL2L2	BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]	6317	0.030711466446518898	0.5645307	No	
row_100	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	6424	0.029729260131716728	0.56110716	No	
row_101	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	6526	0.02871229313313961	0.5578691	No	
