NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	11	0.5471535921096802	0.025058104	Yes	
row_1	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	52	0.43941837549209595	0.043631	Yes	
row_2	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	68	0.4089730381965637	0.062023457	Yes	
row_3	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	74	0.40106678009033203	0.08054365	Yes	
row_4	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	82	0.39256131649017334	0.09856627	Yes	
row_5	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	92	0.38108310103416443	0.11595218	Yes	
row_6	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	95	0.3795008957386017	0.13361245	Yes	
row_7	ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	100	0.3777056932449341	0.15108918	Yes	
row_8	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	107	0.37298139929771423	0.16824527	Yes	
row_9	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	115	0.36349812150001526	0.18490778	Yes	
row_10	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	132	0.3500063121318817	0.20049095	Yes	
row_11	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	149	0.33351707458496094	0.21530245	Yes	
row_12	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	160	0.3287294805049896	0.23018856	Yes	
row_13	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	208	0.3113728165626526	0.24242078	Yes	
row_14	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	219	0.30655279755592346	0.25626907	Yes	
row_15	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	228	0.30086833238601685	0.26995087	Yes	
row_16	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	230	0.3004339933395386	0.28396076	Yes	
row_17	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	232	0.29858896136283875	0.29788432	Yes	
row_18	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	243	0.29363933205604553	0.31112826	Yes	
row_19	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	251	0.288375586271286	0.3242752	Yes	
row_20	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	304	0.2640436589717865	0.33404365	Yes	
row_21	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	328	0.25732898712158203	0.34494132	Yes	
row_22	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	366	0.24414964020252228	0.35452536	Yes	
row_23	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	368	0.24357755482196808	0.3658745	Yes	
row_24	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	379	0.24023297429084778	0.37661916	Yes	
row_25	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	415	0.2328774631023407	0.38577524	Yes	
row_26	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	426	0.2299022227525711	0.39603645	Yes	
row_27	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	468	0.22186146676540375	0.40437835	Yes	
row_28	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	475	0.22023695707321167	0.41438633	Yes	
row_29	DOCK10	dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479]	508	0.21243125200271606	0.42273492	Yes	
row_30	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	527	0.2079479843378067	0.4315705	Yes	
row_31	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	540	0.20625898241996765	0.4406257	Yes	
row_32	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	559	0.20280537009239197	0.44922063	Yes	
row_33	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	565	0.20209629833698273	0.45842943	Yes	
row_34	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	620	0.1935800015926361	0.4648008	Yes	
row_35	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	641	0.19046509265899658	0.4727187	Yes	
row_36	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	743	0.1760765165090561	0.47593156	Yes	
row_37	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	747	0.1755048632621765	0.4839955	Yes	
