NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	17	0.5118884444236755	0.01439588	Yes	
row_1	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	30	0.4633287787437439	0.027594712	Yes	
row_2	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	40	0.453940212726593	0.04066331	Yes	
row_3	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	57	0.42449310421943665	0.05250667	Yes	
row_4	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	58	0.42279714345932007	0.06509591	Yes	
row_5	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	59	0.42264673113822937	0.07768068	Yes	
row_6	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	61	0.42088308930397034	0.09016315	Yes	
row_7	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	87	0.39357951283454895	0.10063806	Yes	
row_8	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	89	0.39289477467536926	0.11228716	Yes	
row_9	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	92	0.38740411400794983	0.123722985	Yes	
row_10	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	95	0.3820714056491852	0.13500002	Yes	
row_11	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	101	0.3783440887928009	0.14601676	Yes	
row_12	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	106	0.37518632411956787	0.15698925	Yes	
row_13	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	133	0.35695624351501465	0.16632389	Yes	
row_14	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	148	0.34822481870651245	0.17599583	Yes	
row_15	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	163	0.3385879397392273	0.18538082	Yes	
row_16	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	175	0.32947784662246704	0.19464387	Yes	
row_17	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	192	0.3221438527107239	0.20343967	Yes	
row_18	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	200	0.31901440024375916	0.21259025	Yes	
row_19	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	204	0.3176138401031494	0.22189823	Yes	
row_20	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	207	0.31559455394744873	0.23119585	Yes	
row_21	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	208	0.3152273893356323	0.24058208	Yes	
row_22	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	215	0.31372010707855225	0.24962479	Yes	
row_23	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	216	0.31354373693466187	0.2589609	Yes	
row_24	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	235	0.3062020242214203	0.26718247	Yes	
row_25	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	243	0.3038986921310425	0.27588296	Yes	
row_26	MMS22L	MMS22 like, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:21475]	262	0.29500612616539	0.28377116	Yes	
row_27	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	268	0.29416853189468384	0.29228148	Yes	
row_28	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	284	0.288860946893692	0.30013603	Yes	
