NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	14	0.527972400188446	0.025757428	Yes	
row_1	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	16	0.5232463479042053	0.05192508	Yes	
row_2	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	45	0.45704200863838196	0.07343172	Yes	
row_3	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	87	0.3841902017593384	0.09064109	Yes	
row_4	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	90	0.3826637864112854	0.10971503	Yes	
row_5	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	103	0.37570813298225403	0.12794276	Yes	
row_6	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	105	0.375	0.14668247	Yes	
row_7	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	114	0.3645438849925995	0.1645499	Yes	
row_8	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	116	0.36309030652046204	0.18269289	Yes	
row_9	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	155	0.3311733603477478	0.19739513	Yes	
row_10	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	178	0.3233766257762909	0.21250305	Yes	
row_11	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	209	0.3100927472114563	0.22654721	Yes	
row_12	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	218	0.3071710765361786	0.24153996	Yes	
row_13	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	227	0.3016630709171295	0.2562567	Yes	
row_14	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	337	0.25373950600624084	0.26354536	Yes	
row_15	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	374	0.2422938048839569	0.2738938	Yes	
row_16	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	383	0.2398361712694168	0.28551272	Yes	
row_17	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	394	0.23755811154842377	0.29691792	Yes	
row_18	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	414	0.23303814232349396	0.30764872	Yes	
row_19	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	433	0.22806105017662048	0.3181799	Yes	
row_20	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	474	0.22031930088996887	0.32722825	Yes	
row_21	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	503	0.2138713151216507	0.33655074	Yes	
row_22	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	504	0.21361760795116425	0.34725413	Yes	
row_23	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	552	0.20370575785636902	0.3551216	Yes	
