NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	9	0.5701201558113098	0.049404252	Yes	
row_1	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	16	0.5232463479042053	0.09485846	Yes	
row_2	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	18	0.5124781131744385	0.13961858	Yes	
row_3	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	21	0.49363458156585693	0.18268159	Yes	
row_4	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	27	0.4850223958492279	0.2248431	Yes	
row_5	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	151	0.3331158459186554	0.24788249	Yes	
row_6	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	178	0.3233766257762909	0.27487087	Yes	
row_7	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	192	0.31821462512016296	0.30205125	Yes	
row_8	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	236	0.296193391084671	0.32582146	Yes	
row_9	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	257	0.2857515811920166	0.34981698	Yes	
row_10	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	321	0.2591492533683777	0.36935833	Yes	
row_11	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	379	0.24023297429084778	0.38754267	Yes	
row_12	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	383	0.2398361712694168	0.4083648	Yes	
row_13	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	405	0.23465962707996368	0.42784345	Yes	
row_14	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	472	0.22082588076591492	0.44388548	Yes	
row_15	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	475	0.22023695707321167	0.4630434	Yes	
row_16	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	504	0.21361760795116425	0.48033577	Yes	
row_17	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	576	0.20084920525550842	0.49438363	Yes	
row_18	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	641	0.19046509265899658	0.50786996	Yes	
row_19	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	645	0.1900169998407364	0.52433604	Yes	
row_20	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	660	0.18698781728744507	0.53999287	Yes	
row_21	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	669	0.1861327439546585	0.55587184	Yes	
row_22	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	736	0.17655353248119354	0.5680428	Yes	
row_23	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	780	0.1710488647222519	0.58087075	Yes	
row_24	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	842	0.16286829113960266	0.5920926	Yes	
row_25	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	855	0.16165481507778168	0.6056333	Yes	
row_26	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	865	0.16112424433231354	0.61927617	Yes	
row_27	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1003	0.14829367399215698	0.62546235	Yes	
row_28	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	1084	0.1395328938961029	0.63370353	Yes	
row_29	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1107	0.13786044716835022	0.6446688	Yes	
row_30	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1134	0.1365090012550354	0.655318	Yes	
row_31	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	1176	0.13375817239284515	0.66498435	Yes	
row_32	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	1281	0.12856295704841614	0.67107856	Yes	
row_33	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1341	0.1255411058664322	0.67913556	Yes	
row_34	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	1432	0.12086408585309982	0.68524945	Yes	
row_35	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	1443	0.12033142894506454	0.695276	Yes	
row_36	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	1524	0.11626110970973969	0.7014823	Yes	
