NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	14	0.527972400188446	0.03536005	Yes	
row_1	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	16	0.5232463479042053	0.07104109	Yes	
row_2	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	21	0.49363458156585693	0.10455151	Yes	
row_3	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	107	0.37298139929771423	0.12581207	Yes	
row_4	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	122	0.35813626646995544	0.14957464	Yes	
row_5	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	134	0.34631550312042236	0.17267856	Yes	
row_6	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	143	0.3377324640750885	0.19534492	Yes	
row_7	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	152	0.33309078216552734	0.21769433	Yes	
row_8	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	155	0.3311733603477478	0.24020989	Yes	
row_9	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	161	0.3278014361858368	0.26234666	Yes	
row_10	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	174	0.32372188568115234	0.28385824	Yes	
row_11	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	190	0.3185368478298187	0.30486718	Yes	
row_12	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	192	0.31821462512016296	0.32654735	Yes	
row_13	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	194	0.3171389698982239	0.3481541	Yes	
row_14	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	208	0.3113728165626526	0.3687729	Yes	
row_15	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	211	0.3095882833003998	0.3898145	Yes	
row_16	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	224	0.30308592319488525	0.4099169	Yes	
row_17	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	280	0.27330222725868225	0.42585626	Yes	
row_18	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	297	0.26621538400650024	0.44324285	Yes	
row_19	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	322	0.2591465711593628	0.4597506	Yes	
row_20	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	332	0.2562275528907776	0.47680178	Yes	
row_21	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	373	0.24286730587482452	0.4914056	Yes	
