NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	81	0.3949565589427948	0.025898773	Yes	
row_1	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	403	0.2350456416606903	0.027734274	Yes	
row_2	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	433	0.22806105017662048	0.043573625	Yes	
row_3	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	496	0.21552643179893494	0.05682064	Yes	
row_4	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	532	0.2072158306837082	0.070781685	Yes	
row_5	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	598	0.19676066935062408	0.082457304	Yes	
row_6	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	651	0.18882817029953003	0.09417881	Yes	
row_7	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	666	0.18653923273086548	0.10761815	Yes	
row_8	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	714	0.17975200712680817	0.11890072	Yes	
row_9	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	730	0.17770403623580933	0.13162075	Yes	
row_10	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	822	0.16532732546329498	0.13962026	Yes	
row_11	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	838	0.16308777034282684	0.15123266	Yes	
row_12	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	850	0.16210529208183289	0.1629697	Yes	
row_13	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	862	0.16139209270477295	0.17465268	Yes	
row_14	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	869	0.1608150452375412	0.18654078	Yes	
row_15	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	889	0.15852321684360504	0.19760819	Yes	
row_16	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	924	0.15541256964206696	0.20769331	Yes	
row_17	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	936	0.1543521136045456	0.21884279	Yes	
row_18	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	946	0.15327386558055878	0.2300101	Yes	
row_19	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	952	0.15283571183681488	0.2413433	Yes	
row_20	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	971	0.15101777017116547	0.25189173	Yes	
row_21	KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	988	0.14994096755981445	0.26245806	Yes	
row_22	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	1041	0.1448378711938858	0.27084595	Yes	
row_23	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	1052	0.1434236317873001	0.28121704	Yes	
row_24	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1104	0.13826240599155426	0.28915638	Yes	
row_25	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	1105	0.13817349076271057	0.2996273	Yes	
row_26	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	1146	0.1359134018421173	0.30793613	Yes	
row_27	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	1160	0.13460157811641693	0.31748936	Yes	
