NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	54	0.4379987418651581	0.02922688	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	107	0.37298139929771423	0.053815838	Yes	
row_2	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	373	0.24286730587482452	0.058322307	Yes	
row_3	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	376	0.2412632703781128	0.07580234	Yes	
row_4	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	377	0.2408473789691925	0.09335161	Yes	
row_5	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	380	0.24013736844062805	0.1107496	Yes	
row_6	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	396	0.23712529242038727	0.12728107	Yes	
row_7	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	405	0.23465962707996368	0.1439813	Yes	
row_8	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	424	0.23012973368167877	0.1598537	Yes	
row_9	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	542	0.20607271790504456	0.16904563	Yes	
row_10	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	552	0.20370575785636902	0.18344063	Yes	
row_11	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	570	0.20152084529399872	0.19727823	Yes	
row_12	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	585	0.1993209719657898	0.21110487	Yes	
row_13	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	669	0.1861327439546585	0.22053617	Yes	
row_14	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	709	0.18013198673725128	0.23172027	Yes	
row_15	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	728	0.17805717885494232	0.24379843	Yes	
row_16	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	788	0.17024819552898407	0.25326687	Yes	
row_17	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	828	0.16438381373882294	0.2633035	Yes	
row_18	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	970	0.15105126798152924	0.26729172	Yes	
row_19	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	978	0.15053221583366394	0.2779118	Yes	
row_20	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1030	0.14589717984199524	0.2860041	Yes	
row_21	CGRRF1	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]	1124	0.1370719075202942	0.29136288	Yes	
row_22	CCNK	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]	1210	0.1320970356464386	0.29675734	Yes	
row_23	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	1335	0.12580332159996033	0.29975203	Yes	
row_24	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1336	0.12571436166763306	0.3089122	Yes	
row_25	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	1385	0.12339994311332703	0.31551456	Yes	
row_26	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	1407	0.12225230783224106	0.3233772	Yes	
row_27	RRP8	ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]	1426	0.12098197638988495	0.33129656	Yes	
row_28	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	1473	0.1188761368393898	0.33766887	Yes	
row_29	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1488	0.11809944361448288	0.34557733	Yes	
row_30	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	1500	0.11773180216550827	0.3536083	Yes	
row_31	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	1529	0.11590629070997238	0.36066014	Yes	
row_32	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	1531	0.11579082161188126	0.3690474	Yes	
row_33	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	1576	0.11433351039886475	0.37518826	Yes	
row_34	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1587	0.11387784034013748	0.3829882	Yes	
row_35	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	1589	0.11384947597980499	0.39123404	Yes	
row_36	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	1598	0.11349628120660782	0.39910573	Yes	
row_37	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1638	0.11205936223268509	0.40532973	Yes	
row_38	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1681	0.11068380624055862	0.41130418	Yes	
row_39	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	1682	0.11061406880617142	0.41936404	Yes	
row_40	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	1696	0.10995392501354218	0.42672876	Yes	
row_41	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1733	0.10850105434656143	0.4328428	Yes	
row_42	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	1749	0.10810046643018723	0.4399729	Yes	
row_43	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1780	0.10694805532693863	0.44627243	Yes	
row_44	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	1790	0.1065535768866539	0.4535885	Yes	
row_45	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2015	0.09851844608783722	0.4496177	Yes	
row_46	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	2076	0.0964982807636261	0.45366263	Yes	
row_47	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	2101	0.09594212472438812	0.45945886	Yes	
row_48	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	2228	0.09228112548589706	0.45991144	Yes	
row_49	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	2241	0.09198453277349472	0.46601656	Yes	
row_50	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	2277	0.09076742827892303	0.47088823	Yes	
row_51	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	2279	0.09074612706899643	0.47745067	Yes	
row_52	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2581	0.08215853571891785	0.46845528	Yes	
row_53	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	2641	0.08090087026357651	0.47141346	Yes	
row_54	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	2662	0.08040360361337662	0.47627658	Yes	
row_55	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	2665	0.08026757836341858	0.4820257	Yes	
row_56	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2763	0.0784807875752449	0.48291615	Yes	
row_57	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	2890	0.07605481892824173	0.4821864	Yes	
row_58	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	2934	0.07523076236248016	0.4855278	Yes	
row_59	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	3161	0.07100225239992142	0.47945255	Yes	
row_60	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	3214	0.07007323950529099	0.4819702	Yes	
row_61	RHBDF2	rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]	3245	0.069571852684021	0.48554632	Yes	
row_62	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3289	0.06881994009017944	0.4884206	Yes	
row_63	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	3395	0.06703019887208939	0.4880785	Yes	
row_64	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	3468	0.06589996814727783	0.48929662	Yes	
row_65	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	3496	0.06548096984624863	0.49272397	Yes	
row_66	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	3497	0.06547873467206955	0.49749506	Yes	
row_67	ERCC5	ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]	3512	0.06526599079370499	0.50155383	Yes	
row_68	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	3538	0.06478043645620346	0.5050297	Yes	
row_69	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	3630	0.063031405210495	0.50509304	Yes	
row_70	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	3663	0.062412384897470474	0.50804794	Yes	
row_71	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	3713	0.061755046248435974	0.5101088	Yes	
row_72	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	3847	0.059486567974090576	0.5078234	Yes	
row_73	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	3863	0.05928375944495201	0.5113965	Yes	
row_74	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	3936	0.058238424360752106	0.51205635	Yes	
row_75	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	4056	0.056313008069992065	0.5102365	Yes	
row_76	AEN	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	4183	0.05451453849673271	0.50793725	Yes	
row_77	PIDD1	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]	4343	0.05227295309305191	0.5038321	Yes	
