NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.49462312	-1.64671	0.0055762082	1.0	0.354	7907	tags=63%, list=39%, signal=101%	
UP-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516	UP-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516	Details ...	465	-0.504104	-1.6142255	0.0019011407	1.0	0.422	5431	tags=54%, list=27%, signal=72%	
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR DIFFERENTIATION  FROM GSE149312	DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR DIFFERENTIATION  FROM GSE149312	Details ...	457	-0.41881603	-1.6061897	0.0	0.804247	0.436	6695	tags=46%, list=33%, signal=68%	
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	Details ...	225	-0.57944113	-1.6058695	0.018292682	0.60484815	0.437	1575	tags=27%, list=8%, signal=29%	
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:6	SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:6	Details ...	246	-0.5666595	-1.6028347	0.0077220076	0.4996463	0.445	2255	tags=35%, list=11%, signal=39%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.57274646	-1.5771458	0.022429906	0.52362674	0.496	5367	tags=48%, list=26%, signal=65%	
DOWN-REGULATED BY MERS AND COVID-19 IN CALU3 FROM TWO SEPARATE STUDIES	DOWN-REGULATED BY MERS AND COVID-19 IN CALU3 FROM TWO SEPARATE STUDIES	Details ...	60	-0.63869905	-1.554256	0.0513834	0.5466834	0.547	2387	tags=42%, list=12%, signal=47%	
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:2	SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:2	Details ...	262	-0.5994186	-1.5478681	0.04255319	0.50349134	0.558	2929	tags=42%, list=14%, signal=49%	
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:4	SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:4	Details ...	447	-0.51426274	-1.5441225	0.0415879	0.46208662	0.566	6885	tags=58%, list=34%, signal=86%	
DOWN-REGULATED BY SARS-COV-2 IN CALU-3 24HR FROM GSE148729	DOWN-REGULATED BY SARS-COV-2 IN CALU-3 24HR FROM GSE148729	Details ...	483	-0.4640543	-1.5360365	0.0149532715	0.44315475	0.578	4941	tags=41%, list=24%, signal=53%	
DOWN-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TERFENADINE FROM GSE154613	DOWN-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TERFENADINE FROM GSE154613	Details ...	447	-0.50156075	-1.5333167	0.03345725	0.41022578	0.585	6412	tags=57%, list=32%, signal=81%	
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:3	SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:3	Details ...	464	-0.5126721	-1.5313417	0.052930057	0.38215655	0.589	6731	tags=58%, list=33%, signal=85%	
SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:1	SARS-COV PERTURBATION DOWN GENES VERO E6 FROM GSE30589:GPL570:1	Details ...	356	-0.48057014	-1.5288997	0.040618956	0.36162958	0.596	6408	tags=50%, list=32%, signal=72%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	-0.53975636	-1.5156542	0.04	0.3715893	0.615	6835	tags=61%, list=34%, signal=91%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.571103	-1.5131673	0.055452865	0.3538258	0.621	7321	tags=75%, list=36%, signal=117%	
