NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	DOWN-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	Details ...	462	-0.5543623	-2.0068264	0.0	0.02723786	0.015	4611	tags=41%, list=23%, signal=52%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:5	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:5	Details ...	271	-0.5752115	-1.9794654	0.0	0.021511499	0.021	4098	tags=35%, list=20%, signal=43%	
GENES WHOSE EXPRESSION IS ALTERED BY SARS=COV-2 INFECTION	GENES WHOSE EXPRESSION IS ALTERED BY SARS=COV-2 INFECTION	Details ...	118	-0.64622766	-1.9752098	0.0	0.015090999	0.022	3183	tags=37%, list=16%, signal=44%	
UP-REGULATED BY MERS-COV IN CALU-3 FROM GSE122876	UP-REGULATED BY MERS-COV IN CALU-3 FROM GSE122876	Details ...	478	-0.5718975	-1.966245	0.0	0.013200533	0.024	4380	tags=38%, list=22%, signal=48%	
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:6	SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:6	Details ...	209	-0.53423595	-1.9554352	0.0	0.012843187	0.028	3491	tags=29%, list=17%, signal=35%	
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:7	SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:7	Details ...	193	-0.63112116	-1.9538554	0.002057613	0.010702656	0.028	3592	tags=40%, list=18%, signal=49%	
DOWN-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312	DOWN-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312	Details ...	465	-0.57220024	-1.9405857	0.0	0.01020751	0.031	4147	tags=39%, list=20%, signal=48%	
UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	Details ...	368	-0.55475247	-1.9188849	0.0	0.011841633	0.038	4575	tags=36%, list=23%, signal=46%	
UP-REGULATED BY SARS-COV-2 INFECTION IN VERO E6 FROM GSE153940	UP-REGULATED BY SARS-COV-2 INFECTION IN VERO E6 FROM GSE153940	Details ...	416	-0.48591638	-1.9171599	0.013833992	0.010943478	0.039	4346	tags=27%, list=21%, signal=34%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:3	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:3	Details ...	344	-0.6284198	-1.9009391	0.0	0.0115447175	0.045	4098	tags=45%, list=20%, signal=56%	
