NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.49462312	-1.6389167	0.005769231	0.15175487	0.094	7907	tags=63%, list=39%, signal=101%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.57274646	-1.5939994	0.028	0.13874668	0.14	5367	tags=48%, list=26%, signal=65%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	-0.53975636	-1.5154762	0.057581574	0.21953431	0.27	6835	tags=61%, list=34%, signal=91%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.571103	-1.4970834	0.033932135	0.19189149	0.302	7321	tags=75%, list=36%, signal=117%	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	-0.5103497	-1.4053314	0.11218569	0.30208954	0.431	6082	tags=52%, list=30%, signal=74%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	-0.4364778	-1.2755831	0.19847329	0.49523282	0.562	10562	tags=83%, list=52%, signal=172%	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	-0.56456894	-1.2674636	0.270751	0.43955505	0.568	7976	tags=74%, list=39%, signal=122%	
SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	188	-0.35992146	-1.2667181	0.2038835	0.38533	0.568	8090	tags=53%, list=40%, signal=87%	
SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	115	-0.34981316	-1.2252312	0.23121387	0.40914142	0.604	7411	tags=44%, list=37%, signal=69%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	-0.54300416	-1.2224431	0.26003823	0.37228742	0.608	7871	tags=80%, list=39%, signal=131%	
