NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	-0.548413	-1.5478278	0.028688524	0.513124	0.205	7178	tags=71%, list=35%, signal=110%	
COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	Details ...	19	-0.5756943	-1.482601	0.04918033	0.44310156	0.293	6232	tags=68%, list=31%, signal=99%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	-0.48897308	-1.4804144	0.070564516	0.2999572	0.295	7573	tags=72%, list=37%, signal=115%	
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	Details ...	26	-0.5498507	-1.4639541	0.08928572	0.25729856	0.324	8167	tags=77%, list=40%, signal=129%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.43338674	-1.4434516	0.09631147	0.23769018	0.356	8016	tags=61%, list=40%, signal=99%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.5328307	-1.4193152	0.09979633	0.23747736	0.396	4627	tags=46%, list=23%, signal=59%	
SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	19	-0.4372683	-1.3064365	0.21497121	0.38334176	0.537	7246	tags=58%, list=36%, signal=90%	
SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	115	-0.36427686	-1.2805489	0.1724846	0.3809927	0.566	7755	tags=49%, list=38%, signal=78%	
SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.41368112	-1.1708341	0.2777778	0.52247256	0.651	7246	tags=60%, list=36%, signal=93%	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	-0.52586496	-1.1705312	0.3425532	0.47112167	0.651	7515	tags=74%, list=37%, signal=117%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.3990723	-1.1702203	0.27620968	0.4285875	0.652	6228	tags=40%, list=31%, signal=58%	
SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	188	-0.32703745	-1.158205	0.30020705	0.40940624	0.664	8403	tags=53%, list=41%, signal=90%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.40156543	-1.1078664	0.34497815	0.4448509	0.696	6419	tags=43%, list=32%, signal=63%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	-0.39198068	-1.0667888	0.40899795	0.46810493	0.722	9484	tags=76%, list=47%, signal=143%	
SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.3830532	-1.0570332	0.43195266	0.45013532	0.727	7246	tags=53%, list=36%, signal=83%	
SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	33	-0.32076395	-0.9996416	0.45858586	0.49431482	0.763	8613	tags=58%, list=42%, signal=100%	
SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	Details ...	79	-0.26344797	-0.91584116	0.5763441	0.5700835	0.797	9637	tags=62%, list=47%, signal=118%	
SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	28	-0.2981593	-0.9129774	0.58502024	0.5415708	0.798	7246	tags=46%, list=36%, signal=72%	
SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	42	-0.25434527	-0.8327179	0.686722	0.61960024	0.834	9680	tags=60%, list=48%, signal=114%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	-0.3105682	-0.6985228	0.79317695	0.7684149	0.893	6448	tags=53%, list=32%, signal=78%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020		36	-0.1992659	-0.5360897	0.95454544	0.9269529	0.933	6547	tags=31%, list=32%, signal=45%	
