NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	-0.5477165	-1.5330541	0.04743833	0.5834138	0.24	5753	tags=55%, list=28%, signal=76%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.56954104	-1.5218241	0.03976143	0.32244822	0.256	6804	tags=71%, list=34%, signal=106%	
SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	188	-0.40486237	-1.453419	0.07224335	0.36950788	0.362	8911	tags=64%, list=44%, signal=113%	
SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	115	-0.4142004	-1.4517634	0.05511811	0.2804059	0.365	8805	tags=62%, list=43%, signal=108%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.43631133	-1.4505241	0.092843324	0.22629279	0.366	8079	tags=57%, list=40%, signal=93%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.50207937	-1.3809451	0.113168724	0.3033253	0.469	4148	tags=37%, list=20%, signal=46%	
SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	19	-0.46559626	-1.3448951	0.17021276	0.32782745	0.51	8805	tags=68%, list=43%, signal=121%	
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	Details ...	26	-0.4918214	-1.3208389	0.21904762	0.3252027	0.533	7970	tags=62%, list=39%, signal=101%	
SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	Details ...	79	-0.37553754	-1.3058558	0.14314516	0.31280366	0.552	6013	tags=39%, list=30%, signal=56%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.4437039	-1.2841945	0.17943925	0.310163	0.584	8740	tags=53%, list=43%, signal=94%	
SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	28	-0.40087327	-1.2304652	0.22485207	0.35050485	0.621	8805	tags=64%, list=43%, signal=113%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	-0.44161814	-1.2155067	0.23575638	0.33964834	0.63	7377	tags=53%, list=36%, signal=83%	
SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.42692706	-1.1830469	0.27148438	0.35823986	0.659	8740	tags=60%, list=43%, signal=105%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	-0.50968313	-1.1792147	0.30103093	0.3360301	0.659	6459	tags=47%, list=32%, signal=68%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	-0.39483646	-1.163474	0.29882812	0.33017242	0.67	9205	tags=66%, list=45%, signal=120%	
SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	33	-0.37561882	-1.1417503	0.3286004	0.33224925	0.682	8805	tags=64%, list=43%, signal=112%	
SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.41838488	-1.1302096	0.35546875	0.3228157	0.686	9764	tags=67%, list=48%, signal=128%	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	-0.49541706	-1.1233367	0.4187867	0.31262088	0.692	7309	tags=65%, list=36%, signal=102%	
COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	Details ...	19	-0.41346446	-1.078154	0.44036698	0.34066293	0.72	9815	tags=68%, list=48%, signal=132%	
SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	42	-0.30049333	-0.9853811	0.46370968	0.41147053	0.768	8740	tags=57%, list=43%, signal=100%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020		36	-0.2945125	-0.7805545	0.6948454	0.62056243	0.864	8891	tags=53%, list=44%, signal=94%	
