NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP3-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	115	-0.5156231	-1.7986913	0.0019723866	0.007841709	0.006	6561	tags=57%, list=32%, signal=84%	
SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS ORF1AB FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	188	-0.5043003	-1.7551019	0.00203666	0.010264058	0.016	6031	tags=49%, list=30%, signal=70%	
SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	SARS-COV-2 HUMAN INTERACTOME GENE SET FROM GUZZI	Details ...	79	-0.46839657	-1.6485401	0.007889546	0.044745833	0.079	6867	tags=49%, list=34%, signal=74%	
SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP7-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	33	-0.5337415	-1.6115865	0.018036073	0.053673845	0.117	5948	tags=58%, list=29%, signal=81%	
SARS CORONAVIRUS E2 GLYCOPROTEIN PRECURSOR FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS E2 GLYCOPROTEIN PRECURSOR FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	68	-0.5579845	-1.5713217	0.026584867	0.07071456	0.171	3956	tags=41%, list=19%, signal=51%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	-0.565223	-1.5264527	0.037698414	0.09868001	0.247	4997	tags=48%, list=25%, signal=63%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	-0.51518095	-1.5211574	0.03508772	0.08881737	0.257	3840	tags=31%, list=19%, signal=38%	
SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS LEADER PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	19	-0.5169002	-1.512931	0.046332046	0.08254374	0.267	7345	tags=68%, list=36%, signal=107%	
SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP8-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	42	-0.467701	-1.4984701	0.05070994	0.08321552	0.293	5906	tags=52%, list=29%, signal=74%	
SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NUCLEOCAPSID PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	28	-0.48601365	-1.477547	0.062374245	0.08966857	0.329	5948	tags=43%, list=29%, signal=61%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS7A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	36	-0.5599159	-1.4653122	0.057026476	0.08930962	0.348	3577	tags=42%, list=18%, signal=50%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.51511323	-1.4541532	0.07335907	0.08903277	0.36	5817	tags=47%, list=29%, signal=65%	
SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS FORMERLY KNOWN AS GROWTH-FACTOR-LIKE PROTEIN FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.5331228	-1.4480073	0.09356725	0.08679791	0.37	5948	tags=60%, list=29%, signal=85%	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	-0.51604027	-1.4298487	0.1	0.09138932	0.397	6446	tags=61%, list=32%, signal=90%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	-0.41411024	-1.378687	0.13398059	0.12032674	0.46	6748	tags=47%, list=33%, signal=69%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	-0.59198505	-1.3459492	0.14143427	0.13681659	0.508	5112	tags=47%, list=25%, signal=62%	
SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS NSP4-PP1A FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	-0.44240084	-1.2294989	0.23517786	0.22499892	0.609	5817	tags=53%, list=29%, signal=75%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	-0.46503875	-1.2289625	0.256917	0.21297328	0.609	4284	tags=33%, list=21%, signal=42%	
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	Details ...	26	-0.34749565	-0.95651436	0.5192308	0.46795213	0.787	6029	tags=31%, list=30%, signal=44%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	-0.33655712	-0.9394028	0.5411765	0.4635939	0.794	7324	tags=58%, list=36%, signal=90%	
COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN		19	-0.34933487	-0.90941197	0.59203035	0.47420487	0.806	8123	tags=47%, list=40%, signal=79%	
