NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.5867059	-1.6780877	0.01171875	0.29863656	0.12	5682	tags=59%, list=28%, signal=81%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.46716183	-1.5665445	0.031055901	0.50228673	0.279	3747	tags=33%, list=18%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.42221928	-1.4709584	0.06126482	0.71699715	0.426	7923	tags=52%, list=39%, signal=84%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	-0.4408778	-1.4536282	0.02016129	0.6178795	0.464	3468	tags=30%, list=17%, signal=36%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.42841613	-1.4181117	0.13662238	0.6252366	0.526	7174	tags=49%, list=35%, signal=76%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	-0.6363106	-1.3859998	0.16765286	0.6275355	0.576	5925	tags=74%, list=29%, signal=103%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.6643475	-1.3836008	0.18003914	0.5451408	0.579	4443	tags=68%, list=22%, signal=86%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.4398522	-1.3753998	0.15354331	0.49836016	0.591	8207	tags=66%, list=40%, signal=111%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.5346249	-1.3672857	0.21782178	0.4605898	0.601	7763	tags=71%, list=38%, signal=114%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.5144775	-1.3211643	0.25889328	0.5197807	0.649	6875	tags=63%, list=34%, signal=94%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.50234145	-1.3092645	0.17113402	0.49992052	0.668	6076	tags=53%, list=30%, signal=75%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.47004232	-1.2435097	0.28716904	0.5973526	0.747	8460	tags=72%, list=42%, signal=123%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.4111505	-1.2133243	0.34319526	0.6101298	0.771	8750	tags=64%, list=43%, signal=111%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.42083913	-1.1946859	0.28455284	0.6075561	0.785	7752	tags=57%, list=38%, signal=91%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.44917026	-1.185083	0.31656185	0.58581614	0.791	7898	tags=63%, list=39%, signal=103%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	-0.3594088	-1.1682637	0.29387754	0.58181536	0.802	7883	tags=53%, list=39%, signal=86%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.34991172	-1.1480428	0.27593362	0.5857534	0.82	3770	tags=25%, list=19%, signal=30%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.3431202	-1.134394	0.30227745	0.57800144	0.831	3717	tags=25%, list=18%, signal=30%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	-0.31975973	-1.11016	0.33970276	0.588339	0.846	7384	tags=41%, list=36%, signal=64%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	198	-0.4946847	-1.0693988	0.4111349	0.62849486	0.873	3997	tags=37%, list=20%, signal=46%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		199	-0.34714186	-1.0575812	0.4248927	0.62266296	0.884	5558	tags=33%, list=27%, signal=45%	
