NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.45232823	-1.5264977	0.092519686	1.0	0.349	9556	tags=77%, list=47%, signal=145%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.545195	-1.4679099	0.033663366	1.0	0.455	4297	tags=53%, list=21%, signal=67%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.49070525	-1.4390688	0.126	0.81981343	0.505	8413	tags=78%, list=41%, signal=131%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	-0.41306362	-1.3696814	0.06692913	0.9084008	0.594	5753	tags=40%, list=28%, signal=55%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.41107613	-1.3263186	0.14723927	0.9094619	0.641	7460	tags=58%, list=37%, signal=91%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.4598301	-1.2124668	0.334004	1.0	0.752	9312	tags=78%, list=46%, signal=142%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.45677677	-1.197001	0.33268103	1.0	0.765	9267	tags=84%, list=46%, signal=155%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.42343947	-1.1960906	0.3151751	0.9661896	0.766	8815	tags=68%, list=43%, signal=119%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	-0.3399055	-1.1775501	0.29182878	0.92024964	0.793	9254	tags=57%, list=46%, signal=104%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.41410637	-1.156738	0.25490198	0.88040453	0.813	3406	tags=25%, list=17%, signal=30%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.36208838	-1.1343142	0.3614931	0.85682946	0.83	9753	tags=71%, list=48%, signal=136%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.38743746	-1.1192435	0.38976377	0.8222733	0.844	7273	tags=56%, list=36%, signal=86%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.33449104	-1.1183819	0.32172132	0.7617913	0.847	6087	tags=42%, list=30%, signal=59%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.41851377	-1.0725462	0.4460888	0.80436325	0.874	9518	tags=72%, list=47%, signal=136%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.5075118	-1.0380269	0.51552796	0.8226637	0.891	6735	tags=66%, list=33%, signal=97%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.32905677	-1.0364921	0.42561984	0.77637833	0.893	7705	tags=53%, list=38%, signal=85%	
