NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.45095164	-1.5200589	0.079395086	1.0	0.373	9341	tags=73%, list=46%, signal=135%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.5507704	-1.5167557	0.028455285	0.7128273	0.376	4290	tags=50%, list=21%, signal=63%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.46550137	-1.3864908	0.17928287	1.0	0.585	7839	tags=65%, list=39%, signal=104%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.4859517	-1.3560703	0.14555766	1.0	0.635	6582	tags=59%, list=32%, signal=86%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.499173	-1.3239303	0.20558882	0.94516313	0.662	7677	tags=72%, list=38%, signal=115%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.480411	-1.2882515	0.29693487	0.92851704	0.707	9622	tags=84%, list=47%, signal=158%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	-0.37359402	-1.2197566	0.17718941	1.0	0.78	6843	tags=45%, list=34%, signal=68%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.3663462	-1.2118326	0.24693878	0.9339283	0.784	6732	tags=46%, list=33%, signal=69%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	-0.33584303	-1.187013	0.28796843	0.90880215	0.809	8306	tags=49%, list=41%, signal=83%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	-0.35094345	-1.1372018	0.3423077	0.9617951	0.84	6329	tags=41%, list=31%, signal=60%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.5249519	-1.1167539	0.43542436	0.9299239	0.857	7136	tags=68%, list=35%, signal=103%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	-0.49608532	-1.098032	0.42647058	0.89926624	0.872	7551	tags=68%, list=37%, signal=107%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.37903967	-1.0935271	0.32438016	0.84202665	0.875	2007	tags=20%, list=10%, signal=22%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.3077672	-1.0549957	0.40079364	0.8660147	0.889	6958	tags=42%, list=34%, signal=63%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.36005366	-1.0272162	0.45691383	0.8737288	0.902	8928	tags=67%, list=44%, signal=118%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.33354035	-1.0173562	0.45661157	0.8379942	0.906	9784	tags=69%, list=48%, signal=133%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.28968897	-0.93557805	0.5318275	0.9622928	0.941	9141	tags=59%, list=45%, signal=107%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	-0.3016795	-0.9189544	0.57575756	0.94558954	0.942	8070	tags=49%, list=40%, signal=81%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.34303716	-0.8870691	0.61077845	0.95557487	0.95	5384	tags=42%, list=27%, signal=56%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.3452314	-0.88379186	0.60784316	0.91715336	0.953	9450	tags=62%, list=47%, signal=116%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	-0.2650925	-0.88301337	0.60665363	0.8748906	0.953	10348	tags=69%, list=51%, signal=141%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		100	-0.31552744	-0.86942714	0.634	0.8611609	0.955	6987	tags=44%, list=34%, signal=67%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		43	-0.2835459	-0.8179301	0.74563104	0.92151594	0.972	6039	tags=42%, list=30%, signal=59%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		112	-0.2715183	-0.800224	0.71666664	0.91482866	0.976	5315	tags=33%, list=26%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		200	-0.23067734	-0.7505895	0.8562753	0.9639765	0.981	4281	tags=23%, list=21%, signal=28%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		49	-0.25851682	-0.7232889	0.75102884	0.9736809	0.982	8755	tags=49%, list=43%, signal=86%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.2557429	-0.7172455	0.7887597	0.94623727	0.982	7023	tags=41%, list=35%, signal=62%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		74	-0.2561138	-0.6819271	0.8266129	0.969361	0.986	8154	tags=53%, list=40%, signal=88%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		158	-0.18797532	-0.6184776	0.94693875	1.0	0.987	8481	tags=42%, list=42%, signal=71%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		200	-0.17692466	-0.57593143	0.9860558	1.0	0.989	5445	tags=25%, list=27%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		200	-0.19748956	-0.56924796	0.9440716	1.0	0.989	5791	tags=28%, list=29%, signal=38%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		200	-0.17458048	-0.54969776	0.968	0.99378127	0.99	1711	tags=10%, list=8%, signal=10%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		200	-0.15466133	-0.4863567	0.98571426	1.0	0.991	6254	tags=26%, list=31%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		200	-0.14265893	-0.43900576	1.0	0.99805385	0.991	7034	tags=27%, list=35%, signal=41%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	-0.1622116	-0.42655748	0.9696356	0.9739715	0.991	6854	tags=35%, list=34%, signal=53%	
