NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.5386897	-1.5420398	0.028957529	1.0	0.322	5902	tags=55%, list=29%, signal=77%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	-0.46202445	-1.5211762	0.016260162	0.82749075	0.36	5721	tags=40%, list=28%, signal=55%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.42854878	-1.4548146	0.07186858	0.94950294	0.465	8117	tags=55%, list=40%, signal=91%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.45288935	-1.4218549	0.12851405	0.88347554	0.512	7789	tags=65%, list=38%, signal=104%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.535495	-1.4191619	0.125	0.7182684	0.518	7775	tags=79%, list=38%, signal=128%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.42001355	-1.4065531	0.09018036	0.6518857	0.536	8147	tags=48%, list=40%, signal=79%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.46120948	-1.3739511	0.18775511	0.6754628	0.583	8475	tags=69%, list=42%, signal=116%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	-0.4242725	-1.3649478	0.1367347	0.6229635	0.602	9059	tags=66%, list=45%, signal=119%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.38924748	-1.3270049	0.22469635	0.665517	0.65	10239	tags=72%, list=50%, signal=144%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.45937383	-1.3063322	0.20781893	0.65962505	0.674	8486	tags=68%, list=42%, signal=115%	
