Sample Index,Sample,1p loss,11q loss,17q gain
1,TARGET-30-PAAPFA-01,0,1,1
2,TARGET-30-PACRYY-01,0,1,1
3,TARGET-30-PACUGP-01,1,0,0
4,TARGET-30-PADENF-01,0,1,1
5,TARGET-30-PADIEY-01,0,1,1
6,TARGET-30-PADLIC-01,0,1,1
7,TARGET-30-PADLJN-01,0,1,1
8,TARGET-30-PADLPR-01,0,1,1
9,TARGET-30-PADMGA-01,0,0,0
10,TARGET-30-PADMTD-01,0,1,0
11,TARGET-30-PADPHP-01,0,0,0
12,TARGET-30-PADSEC-01,0,1,1
13,TARGET-30-PADUYJ-01,1,1,1
14,TARGET-30-PAKADI-01,0,1,0
15,TARGET-30-PAKAFK-01,0,0,1
16,TARGET-30-PALETP-01,0,0,1
17,TARGET-30-PALJVX-01,0,1,1
18,TARGET-30-PALNMX-01,0,1,1
19,TARGET-30-PALRIA-01,0,0,0
20,TARGET-30-PAPZYP-01,1,0,0
21,TARGET-30-PARABN-01,0,0,1
22,TARGET-30-PARACM-01,1,1,1
23,TARGET-30-PARAHE-01,1,0,0
24,TARGET-30-PARCWT-01,0,1,0
25,TARGET-30-PARDUJ-01,0,1,0
26,TARGET-30-PAREGK-01,0,0,0
27,TARGET-30-PARFBW-01,0,0,0
28,TARGET-30-PARGDJ-01,1,1,1
29,TARGET-30-PARGUX-01,0,1,1
30,TARGET-30-PARHYL-01,0,1,0
31,TARGET-30-PARIKF-01,1,0,0
32,TARGET-30-PARIKT-01,0,0,1
33,TARGET-30-PARIRD-01,0,0,0
34,TARGET-30-PARJAR-01,0,1,1
35,TARGET-30-PARJTB-01,1,0,0
36,TARGET-30-PARMFA-01,0,1,1
37,TARGET-30-PARMTT-01,0,1,1
38,TARGET-30-PARNCW-01,0,0,0
39,TARGET-30-PARNEE-01,1,0,1
40,TARGET-30-PARRBU-01,1,0,1
41,TARGET-30-PARSEA-01,0,0,0
42,TARGET-30-PARSHT-01,1,0,1
43,TARGET-30-PARUXY-01,0,0,1
44,TARGET-30-PARVME-01,0,1,1
45,TARGET-30-PARVRR-01,0,0,0
46,TARGET-30-PARXLM-01,0,1,0
47,TARGET-30-PARXZR-01,0,0,0
48,TARGET-30-PASATK-01,0,1,0
49,TARGET-30-PASAZJ-01,0,0,0
50,TARGET-30-PASBEN-01,1,0,0
51,TARGET-30-PASCKI-01,0,0,0
52,TARGET-30-PASCLP-01,1,0,0
53,TARGET-30-PASCUF-01,0,1,1
54,TARGET-30-PASDZJ-01,0,0,0
55,TARGET-30-PASFRV-01,0,1,0
56,TARGET-30-PASGPY-01,0,0,0
57,TARGET-30-PASJYB-01,1,0,1
58,TARGET-30-PASKJX-01,1,1,0
59,TARGET-30-PASLGS-01,0,1,1
