"","x"
"1","Row.names"
"2","STATUS"
"3","A1BG"
"4","A1BG-AS"
"5","A1CF"
"6","A2LD1"
"7","A2M"
"8","A2ML1"
"9","A4GALT"
"10","A4GNT"
"11","AAA1"
"12","AAAS"
"13","AACS"
"14","AACSP1"
"15","AADAC"
"16","AADACL2"
"17","AADACL3"
"18","AADACL4"
"19","AADAT"
"20","AAGAB"
"21","AAK1"
"22","AAMP"
"23","AANAT"
"24","AARS"
"25","AARS2"
"26","AARSD1"
"27","AASDH"
"28","AASDHPPT"
"29","AASS"
"30","AATF"
"31","AATK"
"32","ABAT"
"33","ABCA1"
"34","ABCA10"
"35","ABCA11P"
"36","ABCA12"
"37","ABCA13"
"38","ABCA17P"
"39","ABCA2"
"40","ABCA3"
"41","ABCA4"
"42","ABCA5"
"43","ABCA6"
"44","ABCA7"
"45","ABCA8"
"46","ABCA9"
"47","ABCB1"
"48","ABCB10"
"49","ABCB11"
"50","ABCB4"
"51","ABCB5"
"52","ABCB6"
"53","ABCB7"
"54","ABCB8"
"55","ABCB9"
"56","ABCC1"
"57","ABCC10"
"58","ABCC11"
"59","ABCC12"
"60","ABCC13"
"61","ABCC2"
"62","ABCC3"
"63","ABCC4"
"64","ABCC5"
"65","ABCC6"
"66","ABCC6P1"
"67","ABCC6P2"
"68","ABCC8"
"69","ABCC9"
"70","ABCD1"
"71","ABCD2"
"72","ABCD3"
"73","ABCD4"
"74","ABCE1"
"75","ABCF1"
"76","ABCF2"
"77","ABCF3"
"78","ABCG1"
"79","ABCG2"
"80","ABCG4"
"81","ABCG5"
"82","ABCG8"
"83","ABHD1"
"84","ABHD10"
"85","ABHD11"
"86","ABHD12"
"87","ABHD12B"
"88","ABHD13"
"89","ABHD14A"
"90","ABHD14B"
"91","ABHD15"
"92","ABHD2"
"93","ABHD3"
"94","ABHD4"
"95","ABHD5"
"96","ABHD6"
"97","ABHD8"
"98","ABI1"
"99","ABI2"
"100","ABI3"
"101","ABI3BP"
"102","ABL1"
"103","ABL2"
"104","ABLIM1"
"105","ABLIM2"
"106","ABLIM3"
"107","ABO"
"108","ABP1"
"109","ABR"
"110","ABRA"
"111","ABT1"
"112","ABTB1"
"113","ABTB2"
"114","ACAA1"
"115","ACAA2"
"116","ACACA"
"117","ACACB"
"118","ACAD10"
"119","ACAD11"
"120","ACAD8"
"121","ACAD9"
"122","ACADL"
"123","ACADM"
"124","ACADS"
"125","ACADSB"
"126","ACADVL"
"127","ACAN"
"128","ACAP1"
"129","ACAP2"
"130","ACAP3"
"131","ACAT1"
"132","ACAT2"
"133","ACBD3"
"134","ACBD4"
"135","ACBD5"
"136","ACBD6"
"137","ACBD7"
"138","ACCN1"
"139","ACCN2"
"140","ACCN3"
"141","ACCN4"
"142","ACCN5"
"143","ACCS"
"144","ACCSL"
"145","ACD"
"146","ACE"
"147","ACE2"
"148","ACER1"
"149","ACER2"
"150","ACER3"
"151","ACHE"
"152","ACIN1"
"153","ACLY"
"154","ACMSD"
"155","ACN9"
"156","ACO1"
"157","ACO2"
"158","ACOT1"
"159","ACOT11"
"160","ACOT12"
"161","ACOT13"
"162","ACOT2"
"163","ACOT4"
"164","ACOT6"
"165","ACOT7"
"166","ACOT8"
"167","ACOT9"
"168","ACOX1"
"169","ACOX2"
"170","ACOX3"
"171","ACOXL"
"172","ACP1"
"173","ACP2"
"174","ACP5"
"175","ACP6"
"176","ACPL2"
"177","ACPP"
"178","ACPT"
"179","ACR"
"180","ACRBP"
"181","ACRC"
"182","ACRV1"
"183","ACSBG1"
"184","ACSBG2"
"185","ACSF2"
"186","ACSF3"
"187","ACSL1"
"188","ACSL3"
"189","ACSL4"
"190","ACSL5"
"191","ACSL6"
"192","ACSM1"
"193","ACSM2A"
"194","ACSM2B"
"195","ACSM3"
"196","ACSM4"
"197","ACSM5"
"198","ACSS1"
"199","ACSS2"
"200","ACSS3"
"201","ACTA1"
"202","ACTA2"
"203","ACTB"
"204","ACTBL2"
"205","ACTC1"
"206","ACTG1"
"207","ACTG2"
"208","ACTL6A"
"209","ACTL6B"
"210","ACTL7A"
"211","ACTL7B"
"212","ACTL8"
"213","ACTL9"
"214","ACTN1"
"215","ACTN2"
"216","ACTN3"
"217","ACTN4"
"218","ACTR10"
"219","ACTR1A"
"220","ACTR1B"
"221","ACTR2"
"222","ACTR3"
"223","ACTR3B"
"224","ACTR3BP2"
"225","ACTR3C"
"226","ACTR5"
"227","ACTR6"
"228","ACTR8"
"229","ACTRT1"
"230","ACTRT2"
"231","ACVR1"
"232","ACVR1B"
"233","ACVR2A"
"234","ACVR2B"
"235","ACVRL1"
"236","ACY1"
"237","ACY3"
"238","ACYP1"
"239","ACYP2"
"240","ADA"
"241","ADAD1"
"242","ADAD2"
"243","ADAL"
"244","ADAM1"
"245","ADAM10"
"246","ADAM11"
"247","ADAM12"
"248","ADAM15"
"249","ADAM17"
"250","ADAM18"
"251","ADAM19"
"252","ADAM2"
"253","ADAM20"
"254","ADAM21"
"255","ADAM21P1"
"256","ADAM22"
"257","ADAM23"
"258","ADAM28"
"259","ADAM29"
"260","ADAM30"
"261","ADAM32"
"262","ADAM33"
"263","ADAM3A"
"264","ADAM5P"
"265","ADAM6"
"266","ADAM7"
"267","ADAM8"
"268","ADAM9"
"269","ADAMDEC1"
"270","ADAMTS1"
"271","ADAMTS10"
"272","ADAMTS12"
"273","ADAMTS13"
"274","ADAMTS14"
"275","ADAMTS15"
"276","ADAMTS16"
"277","ADAMTS17"
"278","ADAMTS18"
"279","ADAMTS19"
"280","ADAMTS2"
"281","ADAMTS20"
"282","ADAMTS3"
"283","ADAMTS4"
"284","ADAMTS5"
"285","ADAMTS6"
"286","ADAMTS7"
"287","ADAMTS8"
"288","ADAMTS9"
"289","ADAMTSL1"
"290","ADAMTSL2"
"291","ADAMTSL3"
"292","ADAMTSL4"
"293","ADAMTSL5"
"294","ADAP1"
"295","ADAP2"
"296","ADAR"
"297","ADARB1"
"298","ADARB2"
"299","ADAT1"
"300","ADAT2"
"301","ADAT3"
"302","ADC"
"303","ADCK1"
"304","ADCK2"
"305","ADCK3"
"306","ADCK4"
"307","ADCK5"
"308","ADCY1"
"309","ADCY10"
"310","ADCY2"
"311","ADCY3"
"312","ADCY4"
"313","ADCY5"
"314","ADCY6"
"315","ADCY7"
"316","ADCY8"
"317","ADCY9"
"318","ADCYAP1"
"319","ADCYAP1R1"
"320","ADD1"
"321","ADD2"
"322","ADD3"
"323","ADH1A"
"324","ADH1B"
"325","ADH1C"
"326","ADH4"
"327","ADH5"
"328","ADH6"
"329","ADH7"
"330","ADHFE1"
"331","ADI1"
"332","ADIG"
"333","ADIPOQ"
"334","ADIPOR1"
"335","ADIPOR2"
"336","ADK"
"337","ADM"
"338","ADM2"
"339","ADNP"
"340","ADNP2"
"341","ADO"
"342","ADORA1"
"343","ADORA2A"
"344","ADORA2B"
"345","ADORA3"
"346","ADPGK"
"347","ADPRH"
"348","ADPRHL1"
"349","ADPRHL2"
"350","ADRA1A"
"351","ADRA1B"
"352","ADRA1D"
"353","ADRA2A"
"354","ADRA2B"
"355","ADRA2C"
"356","ADRB1"
"357","ADRB2"
"358","ADRB3"
"359","ADRBK1"
"360","ADRBK2"
"361","ADRM1"
"362","ADSL"
"363","ADSS"
"364","ADSSL1"
"365","AEBP1"
"366","AEBP2"
"367","AEN"
"368","AES"
"369","AFAP1"
"370","AFAP1-AS"
"371","AFAP1L1"
"372","AFAP1L2"
"373","AFF1"
"374","AFF2"
"375","AFF3"
"376","AFF4"
"377","AFG3L1P"
"378","AFG3L2"
"379","AFM"
"380","AFMID"
"381","AFP"
"382","AFTPH"
"383","AGA"
"384","AGAP1"
"385","AGAP10"
"386","AGAP11"
"387","AGAP2"
"388","AGAP3"
"389","AGAP4"
"390","AGAP5"
"391","AGAP6"
"392","AGAP7"
"393","AGAP8"
"394","AGAP9"
"395","AGBL1"
"396","AGBL2"
"397","AGBL3"
"398","AGBL4"
"399","AGBL5"
"400","AGER"
"401","AGFG1"
"402","AGFG2"
"403","AGGF1"
"404","AGK"
"405","AGL"
"406","AGMAT"
"407","AGPAT1"
"408","AGPAT2"
"409","AGPAT3"
"410","AGPAT4"
"411","AGPAT5"
"412","AGPAT6"
"413","AGPAT9"
"414","AGPHD1"
"415","AGPS"
"416","AGR2"
"417","AGR3"
"418","AGRN"
"419","AGRP"
"420","AGT"
"421","AGTPBP1"
"422","AGTR1"
"423","AGTR2"
"424","AGTRAP"
"425","AGXT"
"426","AGXT2"
"427","AGXT2L1"
"428","AGXT2L2"
"429","AHCTF1"
"430","AHCY"
"431","AHCYL1"
"432","AHCYL2"
"433","AHDC1"
"434","AHI1"
"435","AHNAK"
"436","AHNAK2"
"437","AHR"
"438","AHRR"
"439","AHSA1"
"440","AHSA2"
"441","AHSG"
"442","AHSP"
"443","AICDA"
"444","AIDA"
"445","AIF1"
"446","AIF1L"
