NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	0.7201538	1.6180123	0.0019417476	0.13236818	0.12	4945	tags=87%, list=24%, signal=115%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	0.41742283	1.3583789	0.16730769	0.54028606	0.46	4342	tags=37%, list=21%, signal=47%	
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	Details ...	26	0.44756806	1.2163819	0.28853756	0.6888678	0.616	3477	tags=38%, list=17%, signal=46%	
COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	Details ...	19	0.4724343	1.2122886	0.28627452	0.52577466	0.619	4342	tags=42%, list=21%, signal=54%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	0.41093144	1.1402574	0.31538463	0.5418982	0.668	5003	tags=42%, list=25%, signal=56%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	0.42507356	1.1081853	0.3902439	0.49970222	0.686	5198	tags=46%, list=26%, signal=62%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	0.41883215	0.9367274	0.55220884	0.66898495	0.765	3947	tags=53%, list=19%, signal=66%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	0.28777325	0.8494725	0.64950496	0.7205615	0.812	2867	tags=21%, list=14%, signal=24%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	0.30199495	0.8423168	0.6193294	0.65013045	0.812	3097	tags=26%, list=15%, signal=31%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	0.26155552	0.73713756	0.77475727	0.7312829	0.865	2576	tags=20%, list=13%, signal=23%	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	0.23997442	0.6644272	0.7861386	0.7664476	0.89	3994	tags=16%, list=20%, signal=20%	
