NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.66003525	1.7158746	0.0019762847	0.13136141	0.063	3513	tags=58%, list=17%, signal=69%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	197	0.7724137	1.6926504	0.0	0.09785241	0.087	2437	tags=60%, list=12%, signal=67%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	0.7030044	1.6914263	0.002004008	0.06649447	0.089	2713	tags=51%, list=13%, signal=58%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.54362714	1.6851923	0.008016032	0.05364356	0.097	3610	tags=37%, list=18%, signal=45%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	0.5378717	1.6705389	0.015686275	0.05318004	0.115	3747	tags=39%, list=18%, signal=47%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.74200445	1.6595253	0.0	0.051830288	0.127	2950	tags=62%, list=15%, signal=72%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	0.80964005	1.6515138	0.0	0.04932856	0.138	2828	tags=76%, list=14%, signal=88%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	0.5996228	1.6456043	0.01629328	0.046645164	0.148	3324	tags=35%, list=16%, signal=41%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.7413224	1.6098256	0.004056795	0.065360904	0.197	2952	tags=66%, list=15%, signal=77%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.76394445	1.6049488	0.015717093	0.06119675	0.2	3335	tags=74%, list=16%, signal=88%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.58246773	1.6026602	0.036893204	0.056454796	0.204	3553	tags=42%, list=18%, signal=50%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.820684	1.6008074	0.0	0.052942533	0.21	2328	tags=72%, list=11%, signal=81%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.61412144	1.5888277	0.023391813	0.05554756	0.226	4734	tags=57%, list=23%, signal=75%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.6121589	1.5572089	0.026156941	0.07490139	0.277	3816	tags=50%, list=19%, signal=61%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	137	0.67572653	1.5495878	0.030364372	0.07651124	0.293	3305	tags=47%, list=16%, signal=55%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	199	0.64101183	1.5418595	0.012219959	0.07672878	0.302	3625	tags=54%, list=18%, signal=65%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.5526426	1.5164356	0.060728744	0.09277026	0.348	4620	tags=50%, list=23%, signal=65%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.44889012	1.5028619	0.07489879	0.09828601	0.383	3791	tags=31%, list=19%, signal=38%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	0.4263064	1.4913572	0.057494868	0.10297876	0.405	4558	tags=36%, list=22%, signal=46%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.49471375	1.4832617	0.072289154	0.103488274	0.419	4382	tags=35%, list=22%, signal=44%	
