NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	399	0.20433355867862701	0.0892779	Yes	
row_1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	1748	0.0962352380156517	0.07407114	Yes	
row_2	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	2190	0.08098847419023514	0.09549696	Yes	
row_3	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	2252	0.07877130806446075	0.13449469	Yes	
row_4	REEP6	receptor accessory protein 6 [Source:HGNC Symbol;Acc:HGNC:30078]	2510	0.0717749074101448	0.160088	Yes	
row_5	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	2514	0.07170142233371735	0.1981779	Yes	
row_6	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	3236	0.05432691052556038	0.19156629	Yes	
row_7	INTS4	integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]	3446	0.05017676576972008	0.2080104	Yes	
row_8	PITRM1	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]	3763	0.04420381784439087	0.21598835	Yes	
row_9	TARS2	threonyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30740]	4221	0.03681168332695961	0.21306528	Yes	
row_10	FAM8A1	family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]	4254	0.03639068827033043	0.23089293	Yes	
row_11	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	4472	0.03280322998762131	0.23767701	Yes	
row_12	TUBGCP2	tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]	5528	0.01786963827908039	0.19513887	No	
row_13	AAR2	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]	6719	0.002582129091024399	0.13778529	No	
row_14	COQ8B	coenzyme Q8B [Source:HGNC Symbol;Acc:HGNC:19041]	8247	-0.011778404004871845	0.06870389	No	
row_15	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	10532	-0.029569894075393677	-0.028249972	No	
row_16	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	10539	-0.029609864577651024	-0.012755319	No	
row_17	FASTKD5	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]	11960	-0.039194799959659576	-0.061934877	No	
row_18	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	12507	-0.0429719015955925	-0.0659652	No	
row_19	TUBGCP3	tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]	13176	-0.04753733053803444	-0.07358193	No	
row_20	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	14300	-0.05600011348724365	-0.09914132	No	
row_21	BZW2	basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]	15796	-0.06954259425401688	-0.13583809	No	
row_22	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	15971	-0.0714108869433403	-0.10634256	No	
row_23	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	16498	-0.0768231451511383	-0.091333136	No	
row_24	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	17295	-0.08898130804300308	-0.083165266	No	
row_25	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	17953	-0.10095671564340591	-0.061750848	No	
row_26	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	18042	-0.10261301696300507	-0.011371005	No	
row_27	SAAL1	serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]	18150	-0.10530839115381241	0.039508544	No	
row_28	ETFA	electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]	18822	-0.12386898696422577	0.072451	No	
