NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMC1	ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]	1682	0.09852472692728043	-0.053258434	No	
row_1	TM2D3	TM2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24128]	2553	0.07038579136133194	-0.07492597	No	
row_2	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15664]	2731	0.06540505588054657	-0.063870504	No	
row_3	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	3088	0.05733538419008255	-0.06409946	No	
row_4	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	3127	0.05652271583676338	-0.048866827	No	
row_5	SDF2	stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675]	3558	0.04790973290801048	-0.055604182	No	
row_6	OS9	OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]	4026	0.039805904030799866	-0.066622205	No	
row_7	CISD3	CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578]	4196	0.037116266787052155	-0.06373471	No	
row_8	NGLY1	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]	4325	0.0353560708463192	-0.059354845	No	
row_9	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]	4685	0.02952583134174347	-0.068150036	No	
row_10	SMOC1	SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]	4954	0.02572566084563732	-0.07360062	No	
row_11	PLD3	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	5578	0.017132315784692764	-0.099187635	No	
row_12	SIL1	SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624]	7770	-0.007696176413446665	-0.20508222	No	
row_13	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	8274	-0.012035868130624294	-0.22628456	No	
row_14	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	8375	-0.012902728281915188	-0.22731835	No	
row_15	FKBP7	FKBP prolyl isomerase 7 [Source:HGNC Symbol;Acc:HGNC:3723]	8379	-0.01293777022510767	-0.22355022	No	
row_16	ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]	8785	-0.016266977414488792	-0.23863108	No	
row_17	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	9725	-0.023808350786566734	-0.27780604	No	
row_18	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	10496	-0.029264718294143677	-0.30698156	No	
