NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	16	0.4557245969772339	0.024601838	No	
row_1	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	90	0.3372649550437927	0.03976511	No	
row_2	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	481	0.18969930708408356	0.030928507	No	
row_3	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	708	0.16007666289806366	0.02860264	No	
row_4	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	761	0.15382020175457	0.03458739	No	
row_5	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	818	0.1488911658525467	0.04009838	No	
row_6	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	909	0.14143803715705872	0.043501947	No	
row_7	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	1160	0.12427262216806412	0.03798629	No	
row_8	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	1290	0.11696016788482666	0.038084798	No	
row_9	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2160	0.08189500868320465	-5.9783173E-4	No	
row_10	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	2530	0.07115878909826279	-0.014995755	No	
row_11	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	2762	0.0647207647562027	-0.022884754	No	
row_12	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	3197	0.05502137169241905	-0.04141683	No	
row_13	CCL19	C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]	4940	0.025925103574991226	-0.12666453	No	
row_14	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	5083	0.02391037531197071	-0.13239877	No	
row_15	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	5475	0.01848779246211052	-0.15082696	No	
row_16	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	5613	0.016682980582118034	-0.15671515	No	
row_17	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	5691	0.01573709398508072	-0.1596701	No	
row_18	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	5744	0.015000184066593647	-0.16142195	No	
row_19	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	5826	0.013964006677269936	-0.16467479	No	
row_20	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	6105	0.010330908000469208	-0.177934	No	
row_21	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	6299	0.007955122739076614	-0.18709551	No	
