NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	367	0.21076224744319916	0.054387335	No	
row_1	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	3123	0.05664170905947685	-0.062136143	No	
row_2	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	3284	0.053459953516721725	-0.051644	No	
row_3	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	3586	0.04756280034780502	-0.05014147	No	
row_4	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	4242	0.03657211363315582	-0.069896206	No	
row_5	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	4881	0.026774812489748	-0.0921821	No	
row_6	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	5240	0.021656498312950134	-0.10240571	No	
row_7	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	5945	0.012522518634796143	-0.13285291	No	
row_8	LRPAP1	LDL receptor related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	6655	0.003276780480518937	-0.16672762	No	
row_9	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	6970	-1.235404924955219E-4	-0.18218671	No	
row_10	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	7397	-0.00431340467184782	-0.20173363	No	
row_11	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	8422	-0.013304128311574459	-0.24770974	No	
row_12	PRG2	proteoglycan 2, pro eosinophil major basic protein [Source:HGNC Symbol;Acc:HGNC:9362]	9930	-0.025244595482945442	-0.31342292	No	
row_13	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	9952	-0.02541165053844452	-0.30571765	No	
row_14	KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	10137	-0.026699595153331757	-0.30561632	No	
row_15	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	12120	-0.04023400694131851	-0.38962275	No	
row_16	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	12151	-0.040406715124845505	-0.3772033	No	
row_17	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	12275	-0.04123412072658539	-0.36909038	No	
row_18	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	12932	-0.04593147337436676	-0.38567472	No	
row_19	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	13471	-0.049546562135219574	-0.39518997	No	
row_20	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	13764	-0.05170498788356781	-0.39181817	No	
row_21	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	16740	-0.08021510392427444	-0.511093	Yes	
row_22	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	16847	-0.08161207288503647	-0.48825023	Yes	
row_23	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	17036	-0.08457265794277191	-0.46843717	Yes	
row_24	APOH	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]	17307	-0.0891529768705368	-0.45109656	Yes	
row_25	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	17782	-0.09738703817129135	-0.4409944	Yes	
row_26	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	17811	-0.09792272746562958	-0.40868983	Yes	
row_27	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	18041	-0.10258176922798157	-0.38470542	Yes	
row_28	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	18898	-0.12695744633674622	-0.38328922	Yes	
row_29	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	19222	-0.14137081801891327	-0.35060138	Yes	
row_30	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	19570	-0.1658472716808319	-0.31067812	Yes	
row_31	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	19898	-0.20393986999988556	-0.25666308	Yes	
row_32	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	20013	-0.23228205740451813	-0.18238248	Yes	
row_33	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	20124	-0.2701476812362671	-0.094878055	Yes	
row_34	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	20193	-0.29947417974472046	0.0047885864	Yes	
