NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRID2	glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]	2	0.5686383247375488	0.0365052	Yes	
row_1	EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	5	0.5325742959976196	0.070688866	Yes	
row_2	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	35	0.40365585684776306	0.09523003	Yes	
row_3	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	41	0.397072434425354	0.12054179	Yes	
row_4	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	56	0.3801007866859436	0.14431314	Yes	
row_5	TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	101	0.33068883419036865	0.16341074	Yes	
row_6	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	220	0.2554715573787689	0.17398371	Yes	
row_7	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	221	0.2554372549057007	0.19042687	Yes	
row_8	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	266	0.24346014857292175	0.20390932	Yes	
row_9	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	339	0.21761928498744965	0.21433489	Yes	
row_10	VPS50	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]	412	0.2029237002134323	0.22381446	Yes	
row_11	PCDHB1	protocadherin beta 1 [Source:HGNC Symbol;Acc:HGNC:8680]	456	0.19456279277801514	0.23419903	Yes	
row_12	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	595	0.17382140457630157	0.23852065	Yes	
row_13	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	619	0.17069026827812195	0.24836381	Yes	
row_14	ZBTB16	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]	740	0.15640950202941895	0.25246036	Yes	
row_15	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	769	0.15308283269405365	0.26092127	Yes	
row_16	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	923	0.14073382318019867	0.26236644	Yes	
row_17	YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	1035	0.13305066525936127	0.26540723	Yes	
row_18	MFSD6	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]	1082	0.12911374866962433	0.2714294	Yes	
row_19	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	1172	0.1232895478606224	0.27493668	Yes	
row_20	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	1214	0.12105222046375275	0.2806887	Yes	
row_21	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	1244	0.11925718188285828	0.28692237	Yes	
row_22	TSHB	thyroid stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:12372]	1382	0.11170008033514023	0.28729483	Yes	
row_23	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	1440	0.10892600566148758	0.29147002	Yes	
row_24	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	1560	0.1031045988202095	0.29218498	Yes	
row_25	KLHDC8A	kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573]	1861	0.09222910553216934	0.2831922	No	
row_26	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	2205	0.08030906319618225	0.27129212	No	
row_27	KCNQ2	potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]	2441	0.07357580214738846	0.26433334	No	
row_28	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	2771	0.06454559415578842	0.25211528	No	
row_29	TENM2	teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]	2894	0.0616728849709034	0.25001386	No	
row_30	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	3117	0.05675462633371353	0.24261922	No	
row_31	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	3257	0.053885940462350845	0.2391705	No	
row_32	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050]	4194	0.03712613880634308	0.19497934	No	
row_33	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	4406	0.03403365612030029	0.18666953	No	
row_34	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	4414	0.033827684819698334	0.18849875	No	
row_35	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	4523	0.031949322670698166	0.18518066	No	
