NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	123	0.3129391372203827	0.047179613	No	
row_1	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	407	0.20335090160369873	0.067777775	No	
row_2	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	911	0.14138300716876984	0.06692883	No	
row_3	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	1358	0.11305783689022064	0.06408161	No	
row_4	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	1477	0.1067323088645935	0.07640565	No	
row_5	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	1594	0.10154832899570465	0.08794628	No	
row_6	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	1735	0.09683342278003693	0.09749539	No	
row_7	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	2182	0.08138579875230789	0.08925653	No	
row_8	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2288	0.07799012959003448	0.09733168	No	
row_9	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	2294	0.0778791531920433	0.110341616	No	
row_10	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	2427	0.07406948506832123	0.11641184	No	
row_11	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	2648	0.06772039830684662	0.117042005	No	
row_12	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	2671	0.0666889026761055	0.12730487	No	
row_13	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	2864	0.062353137880563736	0.12840837	No	
row_14	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	3149	0.056115347892045975	0.123892605	No	
row_15	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	3523	0.04861285910010338	0.1136909	No	
row_16	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	3527	0.048505332320928574	0.121799506	No	
row_17	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	3702	0.04538432136178017	0.12090602	No	
row_18	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	3872	0.042116325348615646	0.11970389	No	
row_19	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	4035	0.039625197649002075	0.11842445	No	
row_20	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	4190	0.037170808762311935	0.117123485	No	
row_21	STS	steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]	4544	0.03155235946178436	0.105008245	No	
row_22	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	4586	0.030725479125976562	0.10820773	No	
row_23	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	4618	0.030369559302926064	0.111842	No	
row_24	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	5217	0.022000756114721298	0.08596423	No	
row_25	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	5219	0.02192387729883194	0.089646876	No	
row_26	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	5572	0.017206506803631783	0.07513903	No	
row_27	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	5597	0.01691507361829281	0.07682965	No	
row_28	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	5611	0.016693435609340668	0.07902745	No	
row_29	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	5657	0.016224397346377373	0.07956023	No	
row_30	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	5810	0.01417645625770092	0.07444393	No	
row_31	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	5931	0.01263688039034605	0.07065073	No	
row_32	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	6014	0.011564403772354126	0.06855735	No	
row_33	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	6019	0.01149920467287302	0.070316754	No	
row_34	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	6137	0.00998752936720848	0.066221155	No	
row_35	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	6232	0.008781945332884789	0.06305967	No	
row_36	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	6318	0.007601576391607523	0.060143083	No	
row_37	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	6583	0.004060785286128521	0.04775664	No	
row_38	ESR2	estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]	6605	0.0038037539925426245	0.047363892	No	
row_39	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	6864	9.808625327423215E-4	0.034750365	No	
row_40	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	6941	2.2509659174829721E-4	0.031023884	No	
row_41	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	7381	-0.0041545359417796135	0.009984457	No	
row_42	SCGB1A1	secretoglobin family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:12523]	8169	-0.011150246486067772	-0.027102886	No	
row_43	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	8253	-0.011794978752732277	-0.029206544	No	
row_44	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	8406	-0.013169560581445694	-0.034494247	No	
row_45	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	8589	-0.014659158885478973	-0.041014474	No	
row_46	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	8594	-0.01467730849981308	-0.038714055	No	
