NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	338	0.21789342164993286	0.02243248	Yes	
row_1	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	397	0.20505191385746002	0.056421343	Yes	
row_2	DOP1A	DOP1 leucine zipper like protein A [Source:HGNC Symbol;Acc:HGNC:21194]	636	0.16912955045700073	0.07503958	Yes	
row_3	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	986	0.1358872652053833	0.08218565	Yes	
row_4	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	1099	0.12790657579898834	0.099632666	Yes	
row_5	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	1436	0.10906530916690826	0.10260085	Yes	
row_6	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	1539	0.1040080115199089	0.116246946	Yes	
row_7	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	1558	0.10312122106552124	0.13389307	Yes	
row_8	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	1769	0.09542710334062576	0.14064878	Yes	
row_9	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	1779	0.09511326998472214	0.15730102	Yes	
row_10	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	1954	0.08822073042392731	0.1645439	Yes	
row_11	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	2140	0.0824970230460167	0.17021318	Yes	
row_12	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	2487	0.07248511910438538	0.1661104	Yes	
row_13	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	2496	0.07213594764471054	0.17868169	Yes	
row_14	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	2966	0.0601201206445694	0.16626552	Yes	
row_15	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	2997	0.05931749567389488	0.17544313	Yes	
