NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	96	0.34272536635398865	0.00886782	Yes	
row_1	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	110	0.336073100566864	0.02162807	Yes	
row_2	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	198	0.30180686712265015	0.029313834	Yes	
row_3	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	208	0.29926490783691406	0.040805582	Yes	
row_4	ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]	458	0.2504218816757202	0.038325332	Yes	
row_5	PLEKHF2	pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]	539	0.2390304058790207	0.043856576	Yes	
row_6	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	550	0.23813661932945251	0.052858815	Yes	
row_7	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	719	0.220364049077034	0.053236775	Yes	
row_8	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	847	0.20877915620803833	0.055206325	Yes	
row_9	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	932	0.20176385343074799	0.059050012	Yes	
row_10	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	934	0.20162272453308105	0.067045964	Yes	
row_11	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	957	0.19976334273815155	0.07391572	Yes	
row_12	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	991	0.19714143872261047	0.0801298	Yes	
row_13	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1015	0.1960476040840149	0.08680118	Yes	
row_14	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	1028	0.19496126472949982	0.093980245	Yes	
row_15	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	1048	0.19309474527835846	0.10073417	Yes	
row_16	SLU7	SLU7 homolog, splicing factor [Source:HGNC Symbol;Acc:HGNC:16939]	1071	0.19179272651672363	0.10728584	Yes	
row_17	TOR1AIP1	torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]	1108	0.18874981999397278	0.11301476	Yes	
row_18	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	1149	0.18715974688529968	0.11847983	Yes	
row_19	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	1158	0.18690578639507294	0.12553781	Yes	
row_20	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1190	0.1843288093805313	0.13134077	Yes	
row_21	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	1266	0.18068790435791016	0.13479425	Yes	
row_22	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	1274	0.1804271638393402	0.14164379	Yes	
row_23	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	1276	0.18035443127155304	0.14879102	Yes	
row_24	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	1315	0.17725148797035217	0.15396087	Yes	
row_25	PDZD11	PDZ domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28034]	1376	0.17413724958896637	0.15790437	Yes	
row_26	AP3B1	adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]	1425	0.1718873679637909	0.16235921	Yes	
row_27	GNG5	G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]	1435	0.1713036149740219	0.16874447	Yes	
row_28	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	1480	0.16940054297447205	0.17330047	Yes	
row_29	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	1505	0.1685115247964859	0.17882289	Yes	
row_30	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	1511	0.16826076805591583	0.1852871	Yes	
row_31	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	1553	0.16647528111934662	0.18987663	Yes	
row_32	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	1645	0.16258804500102997	0.19180629	Yes	
row_33	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1724	0.1596914827823639	0.1942716	Yes	
row_34	NDFIP2	Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537]	1733	0.15945464372634888	0.2002341	Yes	
row_35	ZYG11B	zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]	2099	0.14607453346252441	0.18777868	Yes	
row_36	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	2139	0.14498622715473175	0.19161084	Yes	
row_37	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	2275	0.1401822566986084	0.19044217	Yes	
row_38	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	2296	0.13913092017173767	0.1949925	Yes	
row_39	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	2327	0.13801419734954834	0.1989973	Yes	
row_40	SLC30A7	solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306]	2363	0.13723443448543549	0.20272051	Yes	
row_41	RAB10	RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]	2372	0.1370518058538437	0.207789	Yes	
row_42	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	2513	0.13361148536205292	0.20610765	Yes	
row_43	PLD3	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	2516	0.1335972249507904	0.21133885	Yes	
row_44	RAB18	RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14244]	2517	0.1335674375295639	0.21666905	Yes	
row_45	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]	2630	0.1306248903274536	0.21627116	Yes	
row_46	HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]	2651	0.1299927532672882	0.22045681	Yes	
row_47	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	2695	0.12902981042861938	0.22345184	Yes	
row_48	FAM98A	family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]	2700	0.1289346069097519	0.22839679	Yes	
row_49	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	2726	0.12820172309875488	0.23226048	Yes	
row_50	CUL2	cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]	2744	0.12782807648181915	0.23651002	Yes	
row_51	MARK1	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]	2756	0.12758508324623108	0.24105045	Yes	
row_52	SRP54	signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]	2859	0.12587840855121613	0.2409641	Yes	
row_53	GOLGB1	golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]	2882	0.12536878883838654	0.24486503	Yes	
row_54	VPS11	VPS11 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:14583]	2897	0.12486634403467178	0.24914669	Yes	
row_55	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]	2901	0.12479304522275925	0.25397643	Yes	
row_56	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	3052	0.12134068459272385	0.25130445	Yes	
row_57	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	3055	0.12130030989646912	0.25604492	Yes	
row_58	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	3095	0.12048454582691193	0.25889933	Yes	
row_59	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	3230	0.11729596555233002	0.25686744	Yes	
row_60	UBXN8	UBX domain protein 8 [Source:HGNC Symbol;Acc:HGNC:30307]	3239	0.11707150191068649	0.2611386	Yes	
row_61	NEU1	neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]	3283	0.1163855716586113	0.26362902	Yes	
row_62	WASHC4	WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]	3329	0.1156434565782547	0.26598966	Yes	
row_63	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	3337	0.11549960821866989	0.27024817	Yes	
row_64	POGLUT3	protein O-glucosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28496]	3345	0.11529915034770966	0.2744987	Yes	
row_65	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	3349	0.11517615616321564	0.27894467	Yes	
row_66	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	3381	0.11458710581064224	0.28196448	Yes	
row_67	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	3388	0.11438877880573273	0.28622878	Yes	
row_68	ATP13A3	ATPase 13A3 [Source:HGNC Symbol;Acc:HGNC:24113]	3418	0.11388899385929108	0.28932092	Yes	
row_69	RNF41	ring finger protein 41 [Source:HGNC Symbol;Acc:HGNC:18401]	3434	0.1136365756392479	0.29310432	Yes	
row_70	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	3445	0.11333354562520981	0.2971261	Yes	
row_71	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	3640	0.10951825976371765	0.29177815	Yes	
row_72	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	3710	0.10831461101770401	0.29264402	Yes	
row_73	TIMM9	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	3717	0.10821834206581116	0.29666206	Yes	
row_74	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]	3728	0.10811562836170197	0.30047563	Yes	
row_75	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	3756	0.10743827372789383	0.30341053	Yes	
row_76	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	3778	0.10698774456977844	0.30662805	Yes	
row_77	TOR1A	torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]	3792	0.10677491873502731	0.31023782	Yes	
row_78	FKBP15	FKBP prolyl isomerase 15 [Source:HGNC Symbol;Acc:HGNC:23397]	3796	0.10673694312572479	0.31434703	Yes	
row_79	SLC44A2	solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]	3813	0.10636017471551895	0.31778994	Yes	
row_80	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	3818	0.10626545548439026	0.32183024	Yes	
row_81	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	3835	0.10599733144044876	0.3252587	Yes	
