NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	944	0.20105114579200745	0.1368991	Yes	
row_1	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	2186	0.14361733198165894	0.20672753	Yes	
row_2	TMX3	thioredoxin related transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:24718]	3945	0.10393669456243515	0.21483094	Yes	
row_3	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	6830	0.06420224159955978	0.1311084	Yes	
row_4	DOLK	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	7033	0.06190970912575722	0.17764008	Yes	
row_5	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	7079	0.06137543544173241	0.23143151	Yes	
row_6	KDM6A	lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]	7089	0.0611959807574749	0.28683564	Yes	
row_7	UBXN7	UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119]	9267	0.039737433195114136	0.21567392	No	
row_8	DPF2	double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]	10009	0.03228982910513878	0.20857653	No	
row_9	PHF6	PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]	10038	0.03198963776230812	0.236389	No	
row_10	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	10299	0.02961980365216732	0.2505904	No	
row_11	CABIN1	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]	10650	0.026155155152082443	0.2571888	No	
row_12	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	10782	0.02492165006697178	0.27346826	No	
row_13	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	11370	0.0194618571549654	0.2622632	No	
row_14	ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	11459	0.0187565665692091	0.2750382	No	
row_15	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	11693	0.016458842903375626	0.27856112	No	
row_16	HIRA	histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]	13087	0.003686276962980628	0.21318606	No	
row_17	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	13318	0.0014780492056161165	0.20318532	No	
row_18	RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	13462	1.5591044211760163E-4	0.1962711	No	
row_19	PHIP	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]	14306	-0.006635166238993406	0.16072764	No	
row_20	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	14482	-0.00815195869654417	0.15953164	No	
row_21	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	14606	-0.00927852001041174	0.16192976	No	
row_22	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	14921	-0.012035652063786983	0.15741895	No	
row_23	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	17102	-0.031022846698760986	0.078156166	No	
row_24	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	17896	-0.040484197437763214	0.07597106	No	
row_25	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	18305	-0.04614692181348801	0.0979521	No	
