NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KRT16P3	1	644945	
KRT16P2	1	400578	
HTR4	1	3360	
CRHBP	1	1393	
HTR6	1	3362	
HTR7	1	3363	
LURAP1L	1	286343	
BBX	1	56987	
TTTY17A	1	252949	
EXOC3-AS1	1	116349	
AL035696.3	1	285766	
WDR83OS	1	51398	
GSTK1	1	373156	
DHDH	1	27294	
INSYN1	1	388135	
BCR	1	613	
ORAI3	1	93129	
ORAI2	1	80228	
AGTR1	1	185	
ORAI1	1	84876	
VOPP1	1	81552	
AGTR2	1	186	
CLEC20A	1	400797	
COL13A1	1	1305	
SHMT2	1	6472	
SHMT1	1	6470	
B3GLCT	1	145173	
RDH12	1	145226	
RDH11	1	51109	
RDH10	1	157506	
RDH16	1	8608	
RDH14	1	57665	
RDH13	1	112724	
GSTM4	1	2948	
GSTM3	1	2947	
AC092171.3	1	100129484	
GSTM2	1	2946	
GSTM1	1	2944	
NEBL	2	10529:387638	
DHFR	1	1719	
CYP2G1P	1	22952	
PKIB	1	5570	
DELEC1	1	50514	
STRC	1	161497	
PKIA	1	5569	
L1TD1	1	54596	
STRN	1	6801	
PKIG	1	11142	
AC010478.1	1	642366	
GSTM5	1	2949	
GTF2H2C	1	728340	
KCNC1	1	3746	
KCNC2	1	3747	
KCNC3	1	3748	
KCNC4	1	3749	
BBC3	1	27113	
NPAP1	1	23742	
GLT1D1	1	144423	
ZNF32-AS3	1	414201	
NEFL	1	4747	
NEFM	1	4741	
NEFH	1	4744	
STUM	1	375057	
MYBPC3	1	4607	
MYBPC1	1	4604	
KCND1	1	3750	
MYBPC2	1	4606	
KCND2	1	3751	
FLJ20021	1	90024	
GSTO2	1	119391	
KCND3	1	3752	
GSTO1	1	9446	
BGN	1	633	
TMEFF1	1	8577	
TMEFF2	1	23671	
GTF2H2B	1	653238	
PKN3	1	29941	
KCNA1	1	3736	
GSTP1	1	2950	
SYNPO2	1	171024	
KCNA2	1	3737	
PTAFR	1	5724	
KCNA3	1	3738	
ADAM22	1	53616	
KCNA4	1	3739	
ADAM21	1	8747	
KCNA5	1	3741	
ADAM20	1	8748	
KCNA6	1	3742	
KCNA7	1	3743	
SDAD1	1	55153	
ADAM29	1	11086	
ADAM28	1	10863	
ADAM23	1	8745	
STX6	1	10228	
STX5	1	6811	
STX4	1	6810	
STX3	1	6809	
BID	1	637	
STX2	1	2054	
SPDEF	1	25803	
MBD3	1	53615	
MBD4	1	8930	
MBD5	1	55777	
MBD6	1	114785	
PKLR	1	5313	
KCNB1	1	3745	
BIK	1	638	
KCNB2	1	9312	
MBD1	1	4152	
MBD2	1	8932	
ADAM33	1	80332	
ADAM32	1	203102	
ADAM30	1	11085	
KIAA2013	1	90231	
MITD1	1	129531	
ADAM3A	1	1587	
PKN2	1	5586	
PKN1	1	5585	
KCNG1	1	3755	
KCNG2	1	26251	
KCNG3	1	170850	
KCNG4	1	93107	
RASL11B	1	65997	
FBXO27	1	126433	
FBXO28	1	23219	
RASL11A	1	387496	
GOLIM4	1	27333	
FBXO25	1	26260	
FBXO24	1	26261	
FBXO21	1	23014	
AC236972.4	1	728317	
FBXO22	1	26263	
FADS3	1	3995	
FADS2	1	9415	
POTEM	1	641455	
POFUT2	1	23275	
AL355390.1	1	100288208	
PTAR1	1	375743	
FNTA	1	2339	
MYBPHL	1	343263	
POTEH	1	23784	
POFUT1	1	23509	
FADS6	1	283985	
FNTB	1	2342	
POTED	1	317754	
TNFRSF8	1	943	
POTEE	1	445582	
NEK1	1	4750	
POTEF	1	728378	
NEK2	1	4751	
POTEG	1	404785	
NEK3	1	4752	
TNFRSF4	1	7293	
POTEA	1	340441	
FADS1	1	3992	
POTEB	1	100996331	
KCNH1	1	3756	
POTEC	1	388468	
KCNH2	1	3757	
PIAS4	1	51588	
KCNH3	1	23416	
PIAS3	1	10401	
KCNH4	1	23415	
DGAT2	1	84649	
KCNH5	1	27133	
KCNH6	1	81033	
DGAT1	1	8694	
KCNH7	1	90134	
STX8	1	9482	
KCNH8	1	131096	
FBXO16	1	157574	
FBXO17	1	115290	
STX7	1	8417	
AC044839.1	1	100507384	
FBXO15	1	201456	
FBXO10	1	26267	
FBXO11	1	80204	
PIAS2	1	9063	
PIAS1	1	8554	
LENEP	1	55891	
LENG1	1	79165	
NPAS4	1	266743	
MINPP1	1	9562	
DMTF1	1	9988	
PKP2	1	5318	
PKP1	1	5317	
PKP4	1	8502	
PKP3	1	11187	
BLK	1	640	
KCNE1	1	3753	
BLM	1	641	
KCNE2	1	9992	
KCNE3	1	10008	
KCNE4	1	23704	
KCNE5	1	23630	
ZC4H2	1	55906	
IREB2	1	3658	
GSTT4	1	25774	
FBXO47	1	494188	
GSTT2	1	2953	
FBXO48	1	554251	
GSTT1	1	2952	
FBXO45	1	200933	
FBXO46	1	23403	
FBXO43	1	286151	
FBXO44	1	93611	
NPAS1	1	4861	
FBXO41	1	150726	
CCDC144A	1	9720	
NPAS2	1	4862	
FBXO42	1	54455	
NPAS3	1	64067	
