NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	68	0.35847052931785583	0.015836447	Yes	
row_1	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	78	0.35286375880241394	0.0343089	Yes	
row_2	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	99	0.34070512652397156	0.0515819	Yes	
row_3	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	194	0.3031938672065735	0.06316032	Yes	
row_4	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	299	0.2769891619682312	0.07283592	Yes	
row_5	CALB2	calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]	304	0.2756333649158478	0.08741618	Yes	
row_6	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	317	0.2733690142631531	0.10147683	Yes	
row_7	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	327	0.27146217226982117	0.11558457	Yes	
row_8	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	398	0.2587234377861023	0.12597306	Yes	
row_9	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	440	0.25298434495925903	0.13749728	Yes	
row_10	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	542	0.23892737925052643	0.14528133	Yes	
row_11	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	558	0.23757433891296387	0.15727337	Yes	
row_12	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	613	0.23085524141788483	0.16696396	Yes	
row_13	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	614	0.23073279857635498	0.17933577	Yes	
