NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	87	0.34762921929359436	0.033034977	Yes	
row_1	GPX8	glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]	108	0.33657950162887573	0.06819717	Yes	
row_2	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	282	0.28059297800064087	0.08977804	Yes	
row_3	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	289	0.2793754041194916	0.119488515	Yes	
row_4	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	349	0.2668267488479614	0.14522961	Yes	
row_5	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	371	0.2626042068004608	0.17239676	Yes	
row_6	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	469	0.24905771017074585	0.1943497	Yes	
row_7	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	639	0.22802305221557617	0.21048199	Yes	
row_8	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	664	0.2249642014503479	0.23345791	Yes	
row_9	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	708	0.22082340717315674	0.25504926	Yes	
row_10	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	797	0.2123502641916275	0.27350467	Yes	
row_11	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	838	0.20960946381092072	0.29403996	Yes	
row_12	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	889	0.20480239391326904	0.3135643	Yes	
row_13	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	896	0.2040635496377945	0.33518565	Yes	
row_14	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	964	0.19950976967811584	0.35330063	Yes	
row_15	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	1137	0.18780504167079926	0.36496475	Yes	
row_16	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	1468	0.16976363956928253	0.3668759	Yes	
row_17	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	1503	0.1685340702533722	0.3832961	Yes	
row_18	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	1545	0.16673748195171356	0.3991771	Yes	
row_19	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	1563	0.16591714322566986	0.41615713	Yes	
row_20	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	1651	0.16222846508026123	0.42927852	Yes	
row_21	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	1773	0.15775801241397858	0.44023797	Yes	
row_22	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	1880	0.15377995371818542	0.45151213	Yes	
row_23	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	2110	0.14582107961177826	0.4558474	Yes	
row_24	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	2271	0.14034926891326904	0.463008	Yes	
row_25	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	2365	0.13720470666885376	0.47314483	Yes	
row_26	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	2580	0.13198494911193848	0.47673595	Yes	
row_27	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	2668	0.12965470552444458	0.48635864	Yes	
row_28	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	2717	0.12845803797245026	0.49778187	Yes	
row_29	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	2832	0.1264163851737976	0.5057212	Yes	
row_30	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	2846	0.12607848644256592	0.5186201	Yes	
row_31	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	2949	0.12376189976930618	0.5268679	Yes	
row_32	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	3006	0.12255344539880753	0.53726125	Yes	
row_33	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	3066	0.12107845395803452	0.5473477	Yes	
row_34	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	3171	0.11859915405511856	0.5549421	Yes	
row_35	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	3287	0.11637280881404877	0.5617532	Yes	
row_36	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	3604	0.11005956679582596	0.5579441	Yes	
row_37	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	3612	0.10996630787849426	0.5694092	Yes	
row_38	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	4045	0.10218434780836105	0.55901647	Yes	
row_39	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	4066	0.1018543690443039	0.5689672	Yes	
row_40	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	4190	0.09940861165523529	0.57356054	Yes	
row_41	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	4194	0.09936176240444183	0.58408445	Yes	
row_42	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	4507	0.09459532797336578	0.57881224	Yes	
row_43	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	4702	0.09159141033887863	0.579054	Yes	
row_44	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	4704	0.09156687557697296	0.5888396	Yes	
row_45	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	5192	0.08463570475578308	0.5738415	No	
row_46	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	5446	0.08138560503721237	0.57006884	No	
row_47	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	5550	0.080116868019104	0.5735793	No	
row_48	STX5	syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]	5749	0.07732090353965759	0.5720905	No	
row_49	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	6100	0.07300955802202225	0.56262016	No	
row_50	TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	6112	0.07288756221532822	0.5699048	No	
row_51	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	6326	0.06997417658567429	0.56688493	No	
row_52	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	6588	0.06682976335287094	0.56115305	No	
row_53	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	6597	0.06675399094820023	0.5679273	No	
row_54	ATXN2	ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	6634	0.0663154125213623	0.5732694	No	
row_55	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	6864	0.06378956139087677	0.5687939	No	
row_56	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	6873	0.06363701820373535	0.57523334	No	
row_57	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	6907	0.06329163163900375	0.5803991	No	
row_58	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	7056	0.06167171150445938	0.57970256	No	
row_59	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	7489	0.05716980621218681	0.56447494	No	
row_60	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	7534	0.0567491352558136	0.5683939	No	
row_61	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	8150	0.05050736293196678	0.54339886	No	
row_62	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	8469	0.047331009060144424	0.5327532	No	
row_63	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	9098	0.04131699725985527	0.5061281	No	
row_64	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	9350	0.03894731029868126	0.49789605	No	
row_65	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	9780	0.03477772697806358	0.4804117	No	
row_66	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	11398	0.019204506650567055	0.40249223	No	
row_67	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	12104	0.012581510469317436	0.36897194	No	
row_68	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	12709	0.007103833369910717	0.33985913	No	
row_69	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	14629	-0.009441182017326355	0.24595305	No	
row_70	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	15611	-0.017498821020126343	0.19930905	No	
row_71	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	18301	-0.04604421183466911	0.07124771	No	
row_72	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	19165	-0.06458693742752075	0.03549804	No	
row_73	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	20266	-0.18712522089481354	0.0011871986	No	
