NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	8	0.4505102038383484	0.025621606	Yes	
row_1	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	30	0.388249009847641	0.047002375	Yes	
row_2	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	52	0.36868816614151	0.06725343	Yes	
row_3	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	56	0.3656330108642578	0.08822118	Yes	
row_4	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	67	0.35869643092155457	0.10844097	Yes	
row_5	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	68	0.35847052931785583	0.12914391	Yes	
row_6	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	76	0.35320883989334106	0.14919564	Yes	
row_7	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	96	0.34272536635398865	0.16804649	Yes	
row_8	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	184	0.30598169565200806	0.18140125	Yes	
row_9	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	185	0.3057996332645416	0.19906226	Yes	
row_10	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	192	0.30384019017219543	0.2163124	Yes	
row_11	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	220	0.2962345480918884	0.2320813	Yes	
row_12	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	253	0.28642603754997253	0.24703562	Yes	
row_13	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	259	0.2852999269962311	0.26326463	Yes	
row_14	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	291	0.2787437438964844	0.27782488	Yes	
row_15	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	333	0.2702946960926056	0.29140103	Yes	
row_16	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	417	0.25565090775489807	0.30204746	Yes	
